Quote,Author
"“It is not my intention to be fulsome, but I confess that I covet your skull.”",Arthur Conan Doyle
"“The human head is of the same approximate size and weight as a roaster chicken. I have never before had occasion to make the comparison, for never before today have I seen a head in a roasting pan.”",Mary Roach
“I will turn human anatomy into roses and stars and sea. I will dissect the beloveds body in metaphor.”,Siri Hustvedt
“[...] the success of Egyptian surgery in setting broken bones is very fully demonstrated in the large number of well-joined fractures found in the ancient skeletons.”,James Henry Breasted
“The spirits of the brain are directly connected to the testicles. This is why men who weary their imagination in books are less suitable for procreative functions...”,Louis de la Forge
"“Speechlessness, however, affirmed in the diagnosis, is carefully based on the facts of the examination, as we see by rendering the statements concerned, just as they stand in examination and diagnosis: ""If thou examinest a man having a wound in the temple, ...; if thou ask of him concerning his malady and he speak not to thee; ...; thou shouldst say concerning him, 'One having a wound in his temple, ... (and) he is speechless'.”",James Henry Breasted
"“The attention given to the side of the head which has received the injury, in connection with a specific reference to the side of the body nervously affected, is in itself evidence that in this case the ancient surgeon was already beginning observations on the localization of functions in the brain.”",James Henry Breasted
"“Nessa held her arm up. She was staring at it, trying to gauge how big that was. “Dude, that’s as big as my arm. That’s like being f****d by a limb dude!” She wiggled her arm back and forth. “That's not normal.”",Erin Jamison
“We have been far taught more about shame than about our anatomy.”,Lynn Enright
"“The human heart is a piece of great mystery. It has no eyes, yet it sees. It has no mouth, yet it speaks. It has no brain, yet it’s the most cunning thing God ever made.”",Nkwachukwu Ogbuagu
"“My mind is blown every time I think of how my body is designed. I'm built with such divine mechanics to think, feel, look, and breathe. It's insane!”",Helen   Edwards
"“Fortunately, most of our vital physiological functions are involuntary, as some amongst us would forget them.”",Stewart Stafford
"“Something inside me clicks. It's like I've spent my whole life fiddling with a complicated combination only to discover I was toying with the wrong lock. And now, the vault inside of me that contains all my secrets is swinging open and I feel that rush of blood swell in my chest.”",Jasmine Warga
"“But the problem arises when instead of setting aside our natural reactions, they are denied altogether. Then the culture simply becomes superhuman. And thus is the realm of the superhuman there is no room for human frailty, and admission of it by one risks revealing the illusion of the many. So no one speaks up, and as a result each person believes that she is alone in her experience. To that end, we are left in a profession of untouchable greatness and infallibility, but one whose members kill themselves more than others.”",Christine Montross
"“During my first semester of medical school, I cannot know how the emotional difficulty of the actions we perform on our cadavers will help us prepare for the agonizing moments we will observe in the lives of the living.”",Christine Montross
"“Unfortunately, sitting rests the parts of the body that don’t need much of it while working the parts that desperately do. Specifically, it disengages the lower extremities while utilizing the spine. (This is in sharp contrast to squatting, which disengages the spine while utilizing the lower extremities.) Because sitting positions the spine vertically, it provides no rest or relief from the gravitational forces that compress it. Without a periodic therapeutic reprieve through the day, the relentless load overwhelms the entire structure, joints and muscles alike. To maintain an erect seated posture, some muscle groups in the back have to continually contract. Since this requires a great deal of energy, the muscles quickly become fatigued. (That is why slumping is more comfortable: It takes less energy to maintain.) When the muscles tire, you rely on the backrest more and your muscles less. The less you rely on your muscles, the weaker and more dysfunctional they become. The weaker and more dysfunctional they become, the more you rely on the backrest. The more you rely on the backrest, the more you tend to slump. The more you slump, the more pronounced the debilitating C-shaped curvature becomes. This weakens the muscles in your back even further, which causes them to overload the joints they serve. Sitting in chairs affects even the areas seemingly at rest (particularly the hips and knees). Because sitting keeps the joints static for long periods, the muscles that serve them become fixed in a short, tight position. When at last you do get up and move, the muscles impose more stress on these joints, thereby increasing their susceptibility to wear and tear. The prolonged stasis also prevents the joints from being lubricated with nourishing synovial fluid. Once depleted, the hips and knees, like the spine, deteriorate and erode. Is it any wonder that the areas most traumatized by sitting, namely, the lower back, hips, and knees, are also the most arthritic and disabled areas of the body in the world today? The real mystery is why so few people have made the connection between prolonged sitting and the epidemic of chronic pain. In fact, they need only look to their own bodies for an abundance of evidence.”",Joseph Weisberg
"“We ate spiral-wrapped eel meat. We ate guts. We ate liver, which is somehow different from guts. We (mostly Iris) ate two bowls of of crispy fried eel backbones. We ate eel meat wrapped around burdock root and eel fin wrapped around garlic chives. We ate smoked eel that tasted like Jewish deli food. I ate better than anyone, because I was the only member of the family willing to try the offal. All of it was precisely like Oishinbo, down to the eel anatomy chart on the wall. It was like stepping into a book,",Matthew Amster-Burton
"“The task of the cervix is to stay closed, to make an impenetrable wall protecting the fetus, for approximately forty weeks of a pregnancy. After that, by means of labor, the wall must somehow become an opening. This happens through dilation, which is not a shattering, but an extreme thinning.”",Maggie Nelson
"“This sounded good — I like physical experiences that involve surrender. I didn’t know, however, very much about experiences that demand surrender — that run over you like a truck, with no safe word to stop it. I was ready to scream, but labor turned out to be the quietest experience of my life.”",Maggie Nelson
"“Many women describe the feeling of having a baby come out of their vagina as taking the biggest shit of their lives. This isn’t really a metaphor. The anal cavity and vaginal canal lean on each other; they, too, are the sex which is not one. Constipation is one of pregnancy’s principal features: the growing baby literally deforms and squeezes the lower intestines, changing the shape, flow, and plausibility of one’s feces. In late pregnancy, I was amazed to find that my shit, when it would finally emerge, had been deformed into Christmas tree ornament — type balls. Then, all through my labor, I could not shit at all, as it was keenly clear to me that letting go of the shit would mean the total disintegration of my perineum, anus, and vagina, all at once. I also knew that if, or when, I could let go of the shit, the baby would probably come out. But to do so would mean falling forever, going to pieces.”",Maggie Nelson
“Only in the mind is the mouth separate from the anus.”,Mokokoma Mokhonoana
“Venus Mount”,Stephen Arnott
"“It could make you slightly psychotic if you really focused on the idea that girls had holes under their clothes. Holes that suggested, in the absence they pointed out, that they could be filled, and that you could do the filling.”",Meg Wolitzer
"“Dr Elsa de Menezes Fernandes is a UK trained Obstetrician and Gynaecologist. She completed her basic training in Goa, India, graduating from Goa University in 1993. After Residency, she moved to the UK, where she worked as a Senior House Officer in London at the Homerton, Southend General, Royal London and St. Bartholomew’s Hospitals in Obstetrics and Gynaecology. She completed five years of Registrar and Senior Registrar training in Obstetrics and Gynaecology in London at The Whittington, University College, Hammersmith, Ealing and Lister Hospitals and Gynaecological Oncology at the Hammersmith and The Royal Marsden Hospitals. During her post-graduate training in London she completed Membership from the Royal College of Obstetricians and Gynaecologists. In 2008 Dr Elsa moved to Dubai where she worked as a Consultant Obstetrician and Gynaecologist at Mediclinic City Hospital until establishing her own clinic in Dubai Healthcare City in March 2015. She has over 20 years specialist experience.”",new concept clinic
"“Before I was turned, my human body sustained itself, albeit only for days. Something in me must have kept my heart beating and the muscles in my ribs tightening and relaxing, letting air into and out of my lungs. It's completely possible that that human power is still there, only dormant. Perhaps there is actually a lot of human potential in me. Last night, as my body had been warmed by Ben, I'd felt alive in a way I've never felt before. My heart had woken up and was beating faster than the demon could ever pump it; I'd felt a pleasure better and more intense than eating; I'd felt Ben's blood coursing through his veins but felt no desire to drink it, and only gratitude that he was alive and with me. It had been the duck that had repelled Ben---death had, essentially, repelled him: the remnants of my last meal. If I deny myself blood, perhaps the human side of me will get stronger until I can consume and live off human food, and I'll attract humans to me too, and a human life for myself, and human love.”",Claire Kohda
"“Bazı yeni NCC araştırmaları, bilincimizin talamus ve korteksimizin arka kısmını içeren 'sıcak bölge'de yer aldığını ileri sürer.”",Max Tegmark
“The amygdala doesn't give a shit where you left your car keys.”,Faith G. Harper
"“You're living with a bunch of hot guys, and instead of finding Cole and experiencing some real-life anatomy, you're shacking up with a textbook like a pariah.”",Ali Novak
“Aristotle was famous for knowing everything. He taught that the brain exists merely to cool the blood and is not involved in the process of thinking. This is true only of certain persons.”,Will Cuppy
"“Before you examine the body of a patient, be patient to learn his story. For once you learn his story, you will also come to know his body.”",Suzy Kassem
"“Before you diagnose any sickness, make sure there is no sickness in the mind or heart. For the emotions in a man's moon or sun, can point to the sickness in any one of his other parts.”",Suzy Kassem
"“Although man has included meat in his diet for thousands of years, his anatomy and physiology, and the chemistry of his digestive juices, are still unmistakably those of a frugivorous animal.”",Herbert M. Shelton
“Anatomy is to physiology as geography is to history; it describes the theatre of events.”,Jean Fernel
"“Anatomy lab, in the end, becomes less a violation of the sacred and more something that interferes with happy hour, and that realization discomfits. In our rare reflective moments, we were all silently apologizing to our cadavers, not because we sensed the transgression but because we did not.”",Paul Kalanithi
"“The question of the position of man, as an animal, has given rise to much disputation, with the result of proving that there is no anatomical or developmental character by which he is more widely distinguished from the group of animals most nearly allied to him, than they are from one another.”",Thomas Henry Huxley
"“… our 'Physick' and 'Anatomy' have embraced such infinite varieties of being, have laid open such new worlds in time and space, have grappled, not unsuccessfully, with such complex problems, that the eyes of",Thomas Henry Huxley
“Vibration is the core of the spirit. It is the breath of life.”,Suzy Kassem
"“Hope is one of our central emotions, but we are often at a loss when asked to define it. Many of us confuse hope with optimism, a prevailing attitude that ""things turn out for the best."" But hope differs from optimism. Hope does not arise from being told to ""Think Positively,"" or from hearing an overly rosy forecast. Hope, unlike optimism, is rooted in unalloyed reality. Although there is no uniform definition of hope, I found on that seemed to capture what my patients had taught me. Hope is the elevating feeling we experience when we see - in the mind's eye- a path to a better future. Hope acknowledges the significant obstacles and deep pitfalls along that path. True hope has no room for delusion.”",Jerome Groopman
“Anatomy lessons are much more fun when conducted in a private coed environment.”,Dixie Waters
“It's not a nice thing to send a penis to a woman. It's disrespectful.”,Janet Evanovich
"“The leafless trees, with their black branches stretched hysterically in every direction, looked to him like illustrations of a central nervous system racked by disease: studies of human suffering anatomized against the winter sky.”",Edward St. Aubyn
“Those who have dissected or inspected many [bodies] have at least learnt to doubt; while others who are ignorant of anatomy and do not take the trouble to attend it are in no doubt at all.”,Giovanni Battista Morgagni
"“It's funny, this - so many words to describe the same thing,” she smiled...“Penis is simply an anatomical appendage, as exciting as a finger or a phalange. A willy is something small and flaccid, and at least slightly humorous. Prick is the organ as viewed with distaste, perhaps with so much as to describe the entire body it’s attached to, like a dick, but more so. Phallus is a symbol of fertility, but my favourite...is the cock, which is only ever the hard, real thing, unleashed and ready to dive head-first into any waiting orifice. Or hole, while I’m in thesaurus mode.”",Morgana Blackrose
"“As long as museums and universities send out expeditions to bring to light new forms of living and extinct animals and new data illustrating the interrelations of organisms and their environments, as long as anatomists desire a broad comparative basis human for anatomy, as long as even a few students feel a strong curiosity to learn about the course of evolution and relationships of animals, the old problems of taxonomy, phylogeny and evolution will gradually reassert themselves even in competition with brilliant and highly fruitful laboratory studies in cytology, genetics and physiological chemistry.”",William King Gregory
"“A nutritive centre, anatomically considered, is merely a cell, the nucleus of which is the permanent source of successive broods of young cells, which from time to time fill the cavity of their parent, and carrying with them the cell wall of the parent, pass off in certain directions, and under various forms, according to the texture or organ of which their parent forms a part.”",John Goodsir
