Quote,Author
“Everything you can imagine is real.”,Pablo Picasso
"“Eleanor was right. She never looked nice. She looked like art, and art wasn't supposed to look nice; it was supposed to make you feel something.”",Rainbow Rowell
"“A life spent making mistakes is not only more honorable, but more useful than a life spent doing nothing.”",George Bernard Shaw
"“Painting is poetry that is seen rather than felt, and poetry is painting that is felt rather than seen.”",Leonardo da Vinci
“You must have chaos within you to give birth to a dancing star.”,Friedrich Nietzsche
“Every child is an artist. The problem is how to remain an artist once he grows up.”,Pablo Picasso
"“It is good to love many things, for therein lies the true strength, and whosoever loves much performs much, and can accomplish much, and what is done in love is well done.”",Vincent Van Gogh
“The most beautiful experience we can have is the mysterious. It is the fundamental emotion that stands at the cradle of true art and true science.”,Albert Einstein
“Art is the lie that enables us to realize the truth.”,Pablo Picasso
"“A painter should begin every canvas with a wash of black, because all things in nature are dark except where exposed by the light.”",Leonardo da Vinci
“I dream my painting and I paint my dream.”,Vincent Willem van Gogh
“Any fool can be happy. It takes a man with real heart to make beauty out of the stuff that makes us weep.”,Clive Barker
"“If you want to really hurt you parents, and you don't have the nerve to be gay, the least you can do is go into the arts. I'm not kidding. The arts are not a way to make a living. They are a very human way of making life more bearable. Practicing an art, no matter how well or badly, is a way to make your soul grow, for heaven's sake. Sing in the shower. Dance to the radio. Tell stories. Write a poem to a friend, even a lousy poem. Do it as well as you possible can. You will get an enormous reward. You will have created something.”",Kurt Vonnegut
"“One ought, every day at least, to hear a little song, read a good poem, see a fine picture, and, if it were possible, to speak a few reasonable words.”",Johann Wolfgang von Goethe
"“I am an excitable person who only understands life lyrically, musically, in whom feelings are much stronger as reason. I am so thirsty for the marvelous that only the marvelous has power over me. Anything I can not transform into something marvelous, I let go. Reality doesn't impress me. I only believe in intoxication, in ecstasy, and when ordinary life shackles me, I escape, one way or another. No more walls.”",Anais Nin
"“If you ask me what I came to do in this world, I, an artist, will answer you: I am here to live out loud.”",Émile Zola
“Art and love are the same thing: It’s the process of seeing yourself in things that are not you.”,Chuck Klosterman
“Art enables us to find ourselves and lose ourselves at the same time.”,Thomas Merton 
“Art washes away from the soul the dust of everyday life.”,Pablo Picasso
"“...and then, I have nature and art and poetry, and if that is not enough, what is enough?”",Vincent Willem van Gogh
“Do you not see how necessary a world of pains and troubles is to school an intelligence and make it a soul?”,John Keats
"“Life doesn't imitate art, it imitates bad television.”",Woody Allen
"“A man should hear a little music, read a little poetry, and see a fine picture every day of his life, in order that worldly cares may not obliterate the sense of the beautiful which God has implanted in the human soul.”",Johann Wolfgang von Goethe
"“Anybody can look at a pretty girl and see a pretty girl. An artist can look at a pretty girl and see the old woman she will become. A better artist can look at an old woman and see the pretty girl that she used to be. But a great artist-a master-and that is what Auguste Rodin was-can look at an old woman, protray her exactly as she is...and force the viewer to see the pretty girl she used to be...and more than that, he can make anyone with the sensitivity of an armadillo, or even you, see that this lovely young girl is still alive, not old and ugly at all, but simply prisoned inside her ruined body. He can make you feel the quiet, endless tragedy that there was never a girl born who ever grew older than eighteen in her heart...no matter what the merciless hours have done to her. Look at her, Ben. Growing old doesn't matter to you and me; we were never meant to be admired-but it does to them.”",Robert Heinlein
"“What i like about photographs is that they capture a moment that’s gone forever, impossible to reproduce.”",Karl Lagerfeld
"“Even in literature and art, no man who bothers about originality will ever be original: whereas if you simply try to tell the truth (without caring twopence how often it has been told before) you will, nine times out of ten, become original without ever having noticed it.”",C.S. Lewis
"“Art is not what you see, but what you make others see.”",Edgar Degas
"“We don't make mistakes, just happy little accidents.”",Bob Ross
“There is nothing more truly artistic than to love people.”,Vincent Van Gogh
“Creativity takes courage. ”,Henri Matisse
"“You might as well ask an artist to explain his art, or ask a poet to explain his poem. It defeats the purpose. The meaning is only clear thorough the search.”",Rick Riordan
“Art is the only serious thing in the world. And the artist is the only person who is never serious.”,Oscar Wilde
"“I don't mind being burdened with being glamorous and sexual. Beauty and femininity are ageless and can't be contrived, and glamour, although the manufacturers won't like this, cannot be manufactured. Not real glamour; it's based on femininity.”",Marilyn Monroe
"“Learn the rules like a pro, so you can break them like an artist.”",Pablo Picasso
"“Nothing can cure the soul but the senses, just as nothing can cure the senses but the soul.”",Oscar Wilde
"“It would be possible to describe everything scientifically, but it would make no sense; it would be without meaning, as if you described a Beethoven symphony as a variation of wave pressure.”",Albert Einstein
"“Every portrait that is painted with feeling is a portrait of the artist, not of the sitter.”",Oscar Wilde
“We have art in order not to die of the truth.”,Friedrich Nietzsche
"“When words become unclear, I shall focus with photographs. When images become inadequate, I shall be content with silence.”",Ansel Adams
“Only put off until tomorrow what you are willing to die having left undone”,Pablo Picasso
"“One eye sees, the other feels.”",Paul Klee
"“You don't make a photograph just with a camera. You bring to the act of photography all the pictures you have seen, the books you have read, the music you have heard, the people you have loved.”",Ansel Adams
“The first mistake of art is to assume that it's serious.”,Lester Bangs
"“Paradoxically though it may seem, it is none the less true that life imitates art far more than art imitates life.”",Oscar Wilde
"“When I was a child my mother said to me, 'If you become a soldier, you'll be a general. If you become a monk, you'll be the pope.' Instead I became a painter and wound up as Picasso.”",Pablo Picasso
“The human body is the best work of art.”,Jess C. Scott
"“The trouble is that we have a bad habit, encouraged by pedants and sophisticates, of considering happiness as something rather stupid. Only pain is intellectual, only evil interesting. This is the treason of the artist; a refusal to admit the banality of evil and the terrible boredom of pain.”",Ursula K. LeGuin
"“There are painters who transform the sun to a yellow spot, but there are others who with the help of their art and their intelligence, transform a yellow spot into sun”",Pablo Picasso
"“It was culture as class performance, literature fetishised for its ability to take educated people on false emotional journeys, so that they might afterwards feel superior to the uneducated people whose emotional journeys they liked to read about.”",Sally Rooney
"“Closed in a room, my imagination becomes the universe, and the rest of the world is missing out.”",Criss Jami
"“If we, citizens, do not support our artists, then we sacrifice our imagination on the altar of crude reality and we end up believing in nothing and having worthless dreams.”",Yann Martel
"“When you make music or write or create, it's really your job to have mind-blowing, irresponsible, condomless sex with whatever idea it is you're writing about at the time. ”",Lady Gaga
“The painter has the Universe in his mind and hands.”,Leonardo da Vinci
"“A picture is a secret about a secret, the more it tells you the less you know.”",Diane Arbus
"“Well, art is art, isn't it? Still, on the other hand, water is water! And east is east and west is west and if you take cranberries and stew them like applesauce they taste much more like prunes than rhubarb does. Now, uh... now you tell me what you know.”",Groucho Marx
“Nature is a haunted house--but Art--is a house that tries to be haunted.”,Emily Dickinson
"“The role of the artist is to ask questions, not answer them.”",Anton Pavlovich Chekhov
"“If being an egomaniac means I believe in what I do and in my art or music, then in that respect you can call me that... I believe in what I do, and I'll say it.”",John Lennon
“The chief enemy of creativity is good sense.”,Pablo Picasso
"“A good poem is a contribution to reality. The world is never the same once a good poem has been added to it. A good poem helps to change the shape of the universe, helps to extend everyone's knowledge of himself and the world around him.”",Dylan Thomas
“Art is to console those who are broken by life.”,Vincent van Gogh
“Art is the proper task of life. ”,Friedrich Nietzsche
"“There is a vitality, a life force, an energy, a quickening that is translated through you into action, and because there is only one of you in all time, this expression is unique. And if you block it, it will never exist through any other medium and will be lost.”",Martha Graham
“Art without emotion its like chocolate cake without sugar. It makes you gag.”,Laurie Halse Anderson
"“An artist's only concern is to shoot for some kind of perfection, and on his own terms, not anyone else's.”",J.D. Salinger
"“The aim of art is to represent not the outward appearance of things, but their inward significance.”",Aristotle
“He took his pain and turned it into something beautiful. Into something that people connect to. And that's what good music does. It speaks to you. It changes you.”,Hannah Harrington
"“And now, I'm just trying to change the world, one sequin at a time.”",Lady Gaga
“Autumn seemed to arrive suddenly that year. The morning of the first September was crisp and golden as an apple.”,J.K. Rowling
“One can have no smaller or greater mastery than mastery of oneself.”,Leonardo da Vinci
“Paris is the only city in the world where starving to death is still considered an art.”,Carlos Ruiz Zafon
“It's not enough to be nice in life. You've got to have nerve.”,Georgia O'Keeffe
"“Like any artist without an art form, she became dangerous.”",Toni Morrison
"“The first step - especially for young people with energy and drive and talent, but not money - the first step to controlling your world is to control your culture. To model and demonstrate the kind of world you demand to live in. To write the books. Make the music. Shoot the films. Paint the art.”",Chuck Palahniuk
“The noblest pleasure is the joy of understanding.”,Leonardo da Vinci
