Quote,Author
"“Recognize that the very molecules that make up your body, the atoms that construct the molecules, are traceable to the crucibles that were once the centers of high mass stars that exploded their chemically rich guts into the galaxy, enriching pristine gas clouds with the chemistry of life. So that we are all connected to each other biologically, to the earth chemically and to the rest of the universe atomically. That’s kinda cool! That makes me smile and I actually feel quite large at the end of that. It’s not that we are better than the universe, we are part of the universe. We are in the universe and the universe is in us.”",Neil deGrasse Tyson
"“Every atom in your body came from a star that exploded. And, the atoms in your left hand probably came from a different star than your right hand. It really is the most poetic thing I know about physics: You are all stardust. You couldn’t be here if stars hadn’t exploded, because the elements - the carbon, nitrogen, oxygen, iron, all the things that matter for evolution and for life - weren’t created at the beginning of time. They were created in the nuclear furnaces of stars, and the only way for them to get into your body is if those stars were kind enough to explode. So, forget Jesus. The stars died so that you could be here today.”",Lawrence M. Krauss
"“If the stars should appear one night in a thousand years, how would men believe and adore; and preserve for many generations the remembrance of the city of God which had been shown! But every night come out these envoys of beauty, and light the universe with their admonishing smile.”",Ralph Waldo Emerson
"“The time will come when diligent research over long periods will bring to light things which now lie hidden. A single lifetime, even though entirely devoted to the sky, would not be enough for the investigation of so vast a subject... And so this knowledge will be unfolded only through long successive ages. There will come a time when our descendants will be amazed that we did not know things that are so plain to them... Many discoveries are reserved for ages still to come, when memory of us will have been effaced.”",Seneca
"“I have realized; it is during the times I am far outside my element that I experience myself the most. That I see and feel who I really am, the most! I think that's what a comet is like, you see, a comet is born in the outer realms of the universe! But it's only when it ventures too close to our sun or to other stars that it releases the blazing ""tail"" behind it and shoots brazen through the heavens! And meteors become sucked into our atmosphere before they burst like firecrackers and realize that they're shooting stars! That's why I enjoy taking myself out of my own element, my own comfort zone, and hurling myself out into the unknown. Because it's during those scary moments, those unsure steps taken, that I am able to see that I'm like a comet hitting a new atmosphere: suddenly I illuminate magnificently and fire dusts begin to fall off of me! I discover a smile I didn't know I had, I uncover a feeling that I didn't know existed in me... I see myself. I'm a shooting star. A meteor shower. But I'm not going to die out. I guess I'm more like a comet then. I'm just going to keep on coming back.”",C. JoyBell C.
"“Stars are beautiful, but they must not take an active part in anything, they must just look on forever. It is a punishment put on them for something they did so long ago that no star now knows what it was.”",J.M. Barrie
"“Look again at that dot. That's here. That's home. That's us. On it everyone you love, everyone you know, everyone you ever heard of, every human being who ever was, lived out their lives. The aggregate of our joy and suffering, thousands of confident religions, ideologies, and economic doctrines, every hunter and forager, every hero and coward, every creator and destroyer of civilization, every king and peasant, every young couple in love, every mother and father, hopeful child, inventor and explorer, every teacher of morals, every corrupt politician, every ""superstar,"" every ""supreme leader,"" every saint and sinner in the history of our species lived there--on a mote of dust suspended in a sunbeam.”",Carl Sagan
"“He insisted that stars were people so well loved, they were traced in constellations, to live forever”",Jodi Picoult
"“The knowledge that the atoms that comprise life on earth - the atoms that make up the human body, are traceable to the crucibles that cooked light elements into heavy elements in their core under extreme temperatures and pressures. These stars- the high mass ones among them- went unstable in their later years- they collapsed and then exploded- scattering their enriched guts across the galaxy- guts made of carbon, nitrogen, oxygen, and all the fundamental ingredients of life itself. These ingredients become part of gas clouds that condense, collapse, form the next generation of solar systems- stars with orbiting planets. And those planets now have the ingredients for life itself. So that when I look up at the night sky, and I know that yes we are part of this universe, we are in this universe, but perhaps more important than both of those facts is that the universe is in us. When I reflect on that fact, I look up- many people feel small, cause their small and the universe is big. But I feel big because my atoms came from those stars.”",Neil deGrasse Tyson
"“We are stardust brought to life, then empowered by the universe to figure itself out—and we have only just begun.”",Neil deGrasse Tyson
"“Philosophy [nature] is written in that great book which ever is before our eyes -- I mean the universe -- but we cannot understand it if we do not first learn the language and grasp the symbols in which it is written. The book is written in mathematical language, and the symbols are triangles, circles and other geometrical figures, without whose help it is impossible to comprehend a single word of it; without which one wanders in vain through a dark labyrinth.”",Galileo
"“And when you look at the sky you know you are looking at stars which are hundreds and thousands of light-years away from you. And some of the stars don’t even exist anymore because their light has taken so long to get to us that they are already dead, or they have exploded and collapsed into red dwarfs. And that makes you seem very small, and if you have difficult things in you life it is nice to think that they are what is called negligible, which means they are so small you don’t have to take them into account when you are calculating something.”",Mark Haddon
“Before we invented civilization our ancestors lived mainly in the open out under the sky. Before we devised artificial lights and atmospheric pollution and modern forms of nocturnal entertainment we watched the stars. There were practical calendar reasons of course but there was more to it than that. Even today the most jaded city dweller can be unexpectedly moved upon encountering a clear night sky studded with thousands of twinkling stars. When it happens to me after all these years it still takes my breath away.”,Carl Sagan
“The discovery of a new dish does more for the happiness of the human race than the discovery of a star.”,Jean Anthelme Brillat-Savarin
“Maybe you who condemn me are in greater fear than I who am condemned.”,Giordano Bruno
“National boundaries are not evident when we view the Earth from space. Fanatical ethnic or religious or national chauvinisms are a little difficult to maintain when we see our planet as a fragile blue crescent fading to become an inconspicuous point of light against the bastion and citadel of the stars.”,Carl Sagan
"“People who believe they are ignorant of nothing have neither looked for, nor stumbled upon, the boundary between what is known and unknown in the universe.”",Neil deGrasse Tyson
“My dear,Galileo Galilei
