Quote,Author
"“We are stardust brought to life, then empowered by the universe to figure itself out—and we have only just begun.”",Neil deGrasse Tyson
"“People who believe they are ignorant of nothing have neither looked for, nor stumbled upon, the boundary between what is known and unknown in the universe.”",Neil deGrasse Tyson
"“For reasons I have yet to understand, many people don’t like chemicals, which might explain the perennial movement to rid foods of them. <...> Personally, I am quite comfortable with chemicals, anywhere in the universe. My favorite stars, as well as my best friends, are all made of them.”",Neil deGrasse Tyson
"“The arrow of time obscures memory of both past and future circumstance with innumerable fallacies, the least trivial of which is perception.”",Ashim Shanker
“I occasionally wonder if the entire Universe is nothing more than a snow-globe on the living room mantle of a space alien.”,Neil deGrasse Tyson
"“The origin of the universe is (the awareness of) loneliness and the purpose of the universe is companionship. All this for love, so not to be alone.”",Wald Wassermann
"“All differentiation is but self desired, self conceived and self perceived for companionship, friendship, love; love so love.”",Wald Wassermann
"“With only rare exceptions, history shows that while strategy and bravery can win a battle, the frontiers of science and technology must be exploited to win a war.”",Neil deGrasse Tyson
“The cause - loneliness - matters not as much as the purpose - love.”,Wald Wassermann
“There is no need to remove the grand designer out of the how-the-universe-began equation. It is simply not possible. You see. Both are self. The universe is self. The grand designer is self. Self has been one since time immemorial. In fact; it is oneself which has created itself to perceive itself as differentiated so not to be by itself. The cause - loneliness - matters not as much as the purpose - love. Love so love”,Wald Wassermann
"“When it comes to zero-point energy, i for one say 'zero is self' not wanting to be by itself hence why self fluctuates itself. Self fluctuates itself so not to be by itself. Self fluctuates itself so to embrace itself. Self fluctuates itself so to experience companionship oneself. Self fluctuates itself so to experience friendship oneself. Self fluctuates itself so to experience love oneself. What it means is that, irrelevant of time, all that is here is self and that the purpose of self is love.”",Wald Wassermann
"“With the star up above and the blackness of space, I can't avoid feeling awe. How could we, Homo sapiens, an insignificant species on an insignificant planet adrift in a middleweight galaxy, have managed to predict how space and time would tremble after two black holes collided in the vastness of the universe a billion light-years away? We knew what that wave should sound like before it got here. And, courtesy of calculus, computers, and Einstein, we were right.”",Steven H. Strogatz
