Quote,Author
"“What was up with class today? It was watered-down porn. He practically had you and Patch on top of your lab table, horizontal, minus your clothes, doing the Big Deed.”",Becca Fitzpatrick
"“Thus, from the war of nature, from famine and death, the most exalted object which we are capable of conceiving, namely, the production of the higher animals, directly follows. There is grandeur in this view of life, with its several powers, having been originally breathed into a few forms or into one; and that, whilst this planet has gone cycling on according to the fixed law of gravity, from so simple a beginning endless forms most beautiful and most wonderful have been, and are being, evolved.”",Charles Darwin
"“Religion is an attempt to get control over the sensory world, in which we are placed, by means of the wish-world, which we have developed inside us as a result of biological and psychological necessities. But it cannot achieve its end. Its doctrines carry with them the stamp of the times in which they originated, the ignorant childhood days of the human race. Its consolations deserve no trust. Experience teaches us that the world is not a nursery. The ethical commands, to which religion seeks to lend its weight, require some other foundations instead, for human society cannot do without them, and it is dangerous to link up obedience to them with religious belief. If one attempts to assign to religion its place in man’s evolution, it seems not so much to be a lasting acquisition, as a parallel to the neurosis which the civilized individual must pass through on his way from childhood to maturity.”",Sigmund Freud 
"“The total amount of suffering per year in the natural world is beyond all decent contemplation. During the minute that it takes me to compose this sentence, thousands of animals are being eaten alive, many others are running for their lives, whimpering with fear, others are slowly being devoured from within by rasping parasites, thousands of all kinds are dying of starvation, thirst, and disease. It must be so. If there ever is a time of plenty, this very fact will automatically lead to an increase in the population until the natural state of starvation and misery is restored. In a universe of electrons and selfish genes, blind physical forces and genetic replication, some people are going to get hurt, other people are going to get lucky, and you won't find any rhyme or reason in it, nor any justice. The universe that we observe has precisely the properties we should expect if there is, at bottom, no design, no purpose, no evil, no good, nothing but pitiless indifference.”",Richard Dawkins
“We all know interspecies romance is weird.”,Tim Burton
"“It is a curious situation that the sea, from which life first arose should now be threatened by the activities of one form of that life. But the sea, though changed in a sinister way, will continue to exist; the threat is rather to life itself.”",Rachel Carson
"“If we wish to know about a man, we ask 'what is his story--his real, inmost story?'--for each of us is a biography, a story. Each of us is a singular narrative, which is constructed, continually, unconsciously, by, through, and in us--through our perceptions, our feelings, our thoughts, our actions; and, not least, our discourse, our spoken narrations. Biologically, physiologically, we are not so different from each other; historically, as narratives--we are each of us unique.”",Oliver Sacks
"“If this book has a lesson, it is that we are awfully lucky to be here-and by 'we' I mean every living thing. To attain any kind of life in this universe of ours appears to be quite an achievement. As humans we are doubly lucky, of course: We enjoy not only the privilege of existence but also the singular ability to appreciate it and even, in a multitude of ways, to make it better. It is a talent we have only barely begun to grasp.”",Bill Bryson
"“How can we distinguish what is biologically determined from what people merely try to justify through biological myths? A good rule of thumb is ‘Biology enables, Culture forbids.’ Biology is willing to tolerate a very wide spectrum of possibilities. It’s culture that obliges people to realize some possibilities while forbidding others. Biology enables women to have children – some cultures oblige women to realize this possibility. Biology enables men to enjoy sex with one another – some cultures forbid them to realize this possibility. Culture tends to argue that it forbids only that which is unnatural. But from a biological perspective, nothing is unnatural. Whatever is possible is by definition also natural. A truly unnatural behavior, one that goes against the laws of nature, simply cannot exist.”",Yuval Noah Harari
"“In a very real sense we have two minds, one that thinks and one that feels”",Daniel Goleman
“On ne naît pas femme: on le devient.”,Simone de Beauvoir
"“One general law, leading to the advancement of all organic beings, namely, multiply, vary, let the strongest live and the weakest die.”",Charles Darwin
