Quote,Author
"“Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.”",Rob Siltanen
"“I still love books. Nothing a computer can do can compare to a book. You can't really put a book on the Internet. Three companies have offered to put books by me on the Net, and I said, 'If you can make something that has a nice jacket, nice paper with that nice smell, then we'll talk.' All the computer can give you is a manuscript. People don't want to read manuscripts. They want to read books. Books smell good. They look good. You can press it to your bosom. You can carry it in your pocket.”",Ray Bradbury
“Two things you should know about me; The first is that I am deeply suspicious of people in general. It is my nature to expect the worst of them. And the second is that I am unexpectedly good with computers.”,Veronica Roth
“The people who are crazy enough to think they can change the world are the ones who do.”,Rob Siltanen
“I think computer viruses should count as life ... I think it says something about human nature that the only form of life we have created so far is purely destructive. We've created life in our own image.”,Stephen Hawking
“Any idiot can put up a website.”,Patricia Briggs
“Computers are like Old Testament gods; lots of rules and no mercy.”,Joseph Campbell
“Don't explain computers to laymen. Simpler to explain sex to a virgin.”,Robert A. Heinlein
"“Those who can imagine anything, can create the impossible.”",Alan Turing
“Doing research on the Web is like using a library assembled piecemeal by pack rats and vandalized nightly. ”,Roger Ebert
“No one messes around with a nerd’s computer and escapes unscathed.”,E.A. Bucchianeri
"“Idiots emit bogons, causing machinery to malfunction in their presence. System administrators absorb bogons, letting machinery work again.”",Charles Stross
"“There are 10 kinds of people in the world: those who understand binary numerals, and those who don't.”",Ian Stewart
“That's the thing about people who think they hate computers. What they really hate is lousy programmers.”,Larry Niven
“Whether we are based on carbon or on silicon makes no fundamental difference; we should each be treated with appropriate respect.”,Arthur C. Clarke
“A computer lets you make more mistakes faster than any other invention with the possible exceptions of handguns and Tequila.”,Mitch Ratcliffe
