Quote,Author
"“For me, it is far better to grasp the Universe as it really is than to persist in delusion, however satisfying and reassuring.”",Carl Sagan
"“Recognize that the very molecules that make up your body, the atoms that construct the molecules, are traceable to the crucibles that were once the centers of high mass stars that exploded their chemically rich guts into the galaxy, enriching pristine gas clouds with the chemistry of life. So that we are all connected to each other biologically, to the earth chemically and to the rest of the universe atomically. That’s kinda cool! That makes me smile and I actually feel quite large at the end of that. It’s not that we are better than the universe, we are part of the universe. We are in the universe and the universe is in us.”",Neil deGrasse Tyson
“Far out in the uncharted backwaters of the unfashionable end of the western spiral arm of the Galaxy lies a small unregarded yellow sun. Orbiting this at a distance of roughly ninety-two million miles is an utterly insignificant little blue green planet whose ape-descended life forms are so amazingly primitive that they still think digital watches are a pretty neat idea.”,Douglas Adams
"“I... a universe of atoms, an atom in the universe.”",Richard P. Feynman
"“How is it that hardly any major religion has looked at science and concluded, “This is better than we thought! The Universe is much bigger than our prophets said, grander, more subtle, more elegant?” Instead they say, “No, no, no! My god is a little god, and I want him to stay that way.” A religion, old or new, that stressed the magnificence of the Universe as revealed by modern science might be able to draw forth reserves of reverence and awe hardly tapped by the conventional faiths.”",Carl Sagan
"“The role played by time at the beginning of the universe is, I believe, the final key to removing the need for a Grand Designer, and revealing how the universe created itself. … Time itself must come to a stop. You can’t get to a time before the big bang, because there was no time before the big bang. We have finally found something that does not have a cause because there was no time for a cause to exist in. For me this means there is no possibility of a creator because there is no time for a creator to have existed. Since time itself began at the moment of the Big Bang, it was an event that could not have been caused or created by anyone or anything. … So when people ask me if a god created the universe, I tell them the question itself makes no sense. Time didn’t exist before the Big Bang, so there is no time for God to make the universe in. It’s like asking for directions to the edge of the Earth. The Earth is a sphere. It does not have an edge, so looking for it is a futile exercise.”",Stephen W. Hawking
“I believe a leaf of grass is no less than the journey-work of the stars.”,Walt Whitman
“My view is that if your philosophy is not unsettled daily then you are blind to all the universe has to offer.”,Neil deGrasse Tyson
"“And when the universe has finished exploding all the stars will slow down, like a ball that has been thrown into the air, and they will come to a halt and they will all begin to fall towards the centre of the universe again. And then there will be nothing to stop us seeing all the stars in the world because they will all be moving towards us, gradually faster and faster, and we will know that the world is going to end soon because when we look up into the sky at night there will be no darkness, just the blazing light of billions and billions of stars, all falling.”",Mark Haddon
"“Philosophy [nature] is written in that great book which ever is before our eyes -- I mean the universe -- but we cannot understand it if we do not first learn the language and grasp the symbols in which it is written. The book is written in mathematical language, and the symbols are triangles, circles and other geometrical figures, without whose help it is impossible to comprehend a single word of it; without which one wanders in vain through a dark labyrinth.”",Galileo
"“And when you look at the sky you know you are looking at stars which are hundreds and thousands of light-years away from you. And some of the stars don’t even exist anymore because their light has taken so long to get to us that they are already dead, or they have exploded and collapsed into red dwarfs. And that makes you seem very small, and if you have difficult things in you life it is nice to think that they are what is called negligible, which means they are so small you don’t have to take them into account when you are calculating something.”",Mark Haddon
"“A blade of grass is a commonplace on Earth; it would be a miracle on Mars. Our descendants on Mars will know the value of a patch of green. And if a blade of grass is priceless, what is the value of a human being?”",Carl Sagan
"“Sometimes I think we're alone in the universe, and sometimes I think we're not. In either case, the idea is quite staggering.”",Arthur C. Clarke
"“We live on a hunk of rock and metal that circles a humdrum star that is one of 400 billion other stars that make up the Milky Way Galaxy which is one of billions of other galaxies which make up a universe which may be one of a very large number, perhaps an infinite number, of other universes. That is a perspective on human life and our culture that is well worth pondering.”",Carl Sagan
“Something deeply hidden had to be behind things.”,Albert Einstein
“A world where it is safe to love is a world where it is safe to live”,Serena Anderlini-D'Onofrio
“The full cosmos consists of the physical stuff,Neal Stephenson
“One possibility is: God is nothing but the power of the universe to organize itself.”,Lee Smolin
"“I would suggest that science is, at least in my part, informed worship.”",Carl Sagan
“The total amount of energy from outside the solar system ever received by all the radio telescopes on the planet Earth is less than the energy of a single snowflake striking the ground.”,Carl Sagan
"“It took less than an hour to make the atoms, a few hundred million years to make the stars and planets, but five billion years to make man!”",George Gamow
"“Some piously record 'In the beginning God', but I say 'In the beginning hydrogen'.”",Harlow Shapley
"“There's no obvious reason to assume that the very same rare properties that allow for our existence would also provide the best overall setting to make discoveries about the world around us. We don't think this is merely coincidental. It cries out for another explanation, an explanation that... points to purpose and intelligent design in the cosmos.”",Guillermo Gonzalez
"“It’s hard to build models of inflation that don't lead to a multiverse. It’s not impossible, so I think there’s still certainly research that needs to be done. But most models of inflation do lead to a multiverse, and evidence for inflation will be pushing us in the direction of taking [the idea of a] multiverse seriously.”",Alan H. Guth
“All what we think and know is an illusion. Nothing exists. Everything is an opinion.”,Ash Vaz
“The sun symbolizes the Divine intelligence; the empty vastness of space symbolizes the Divine All-Possibility and also the Divine immutability; a bird symbolizes the soul; a tree symbolizes the grades of being; and water symbolizes knowledge and rain revelation.”,Osman Bakar
"“How can we satisfy ourselves without going on in infinitum? And, after all, what satisfaction is there in that infinite progression? Let us remember the story of the Indian philosopher and his elephant. It was never more applicable than to the present subject. If the material world rests upon a similar ideal world, this ideal world must rest upon some other; and so on, without end. It were better, therefore, never to look beyond the present material world.”",David Hume
"“There cannot be a language more universal and more simple, more free from errors and obscurities...more worthy to express the invariable relations of all natural things [than mathematics]. [It interprets] all phenomena by the same language, as if to attest the unity and simplicity of the plan of the universe, and to make still more evident that unchangeable order which presides over all natural causes”",Joseph Fourier
"“It is possible that these millions of suns, along with thousands of millions more we cannot see, make up altogether but a globule of blood or lymph in the veins of an animal, of a minute insect, hatched in a world of whose vastness we can frame no conception, but which nevertheless would itself, in proportion to some other world, be no more than a speck of dust.”",Anatole France
“There are only certain intervals of time when life of any sort is possible in an expanding universe and we can practise astronomy only during that habitable time interval in cosmic history.”,John D. Barrow
“The unity of scientific and spiritual knowledge is realized when each of the particular sciences is organically related to the supreme knowledge of al-tawhid.”,Osman Bakar
"“We want union with something, even if the opposite seems true.  Bring two atomic nuclei together and their positive electrostatic forces will repel each other, but, with the patience and strength of the blind god of the galaxies, there comes a point where something bigger takes over and welds them together. Physicists call it the Strong Nuclear Force; I’ve called this magic glue God. All the elements heavier than hydrogen were so formed, forged in the great hearts of the stars: sulphur, potassium, gold, radium. Everything you can think of.  ”",Sean J. Halford
"“Anybody who has done high school physics knows Newton’s Third Law. For every action there is an equal and opposite reaction. You push against a wall; it pushes back against you. I love the poetry hidden in these truths, in the many laws we’ve discovered that underpin the universal fabric. We search for meaning ever hungrier, perhaps even with desperation: the symmetry in the equations freaks us out; for all we know, there is just us on this lonely little marble in the inky void.”",Sean J. Halford
“Time is the result of One not wanting to be alone.”,Wald Wassermann
“Time is the result of Self not wanting to be by itself.”,Wald Wassermann
“What is Gravity but Self not wanting to be by itself and what is the purpose of Self but Companionship otherwise known as Love.”,Wald Wassermann
“Spacetime does not emerge out of the interaction of particles. Rather. There is only oneself partnering with itself so not to be by itself.”,Wald Wassermann
“Complexity is the result of simplicity not wanting to be by itself.”,Wald Wassermann
“The sea creates waves so to be able to experience companionship itself. Knowing this. What is there thus to argue about? What is there thus to fight over? Nothing is more absurd than conflict. Conflict is born out of forgetfulness. Forgetfulness that all this is self and that the one and only purpose of self - the meaning of life - is companionship otherwise known as love.”,Wald Wassermann
"“When it comes to the anthropic principle both the weak anthropic principle (WAP) which states that the universe's ostensible fine tuning is the result of selection bias (specifically survivorship bias) and the strong anthropic principle (SAP) which states that the universe is in some sense compelled to eventually have conscious and sapient life emerge within it are erroneous. Truth is simple. 'There is only one principal whose principal reason is companionship more commonly known as love.' That is to say; 'There is only intelligence or one consciousness which has conceived itself to perceive itself as self differentiated, as sapient life, so not to be by itself and this for the purpose of self companionship i.e. self love.' That may sound difficult to understand but what it means in most simple terms is that the meaning of life is simply love. I am not a fan of adding new formulations to the lexicon of physics but if we would have to do so I would call it the 'absolute anthropic principle (AAP)'.”",Wald Wassermann
“The purpose of relativity is companionship.”,Wald Wassermann
“Life is the result of Self not wanting to be by itself.”,Wald Wassermann
"“When the Universe attains Versistasis, everything will both cease to exist and be created in the perfected dual moment.”",Jason Jowett
“The assumption that evolution fails to address how everything came into existence is a fallacy. Truth is simple and self-evident. Evolution means love in action. What it means is that the origin of everything is self not wanting to be by itself and that the purpose of self and as such the meaning of life is companionship more commonly known as love. As such the definition of the theory of evolution i.e. evolutionary biology in simple terms.”,Wald Wassermann
“Life is the result of the unwillingness of Self to be by itself.”,Wald Wassermann
"“The Absolute Anthropic Principle (AAP) states that the origin of everything (including but not limited to all life, the world and the universe) is Self not wanting to feel by itself and that the purpose of Self and as such the meaning of Life is Companionship more commonly known as Love.”",Wald Wassermann
"“Some of the science literature on entropy erroneously assumes that, as one goes forward in time, one moves from order to disorder. Naturally this is erroneous for the simple reason that there is no such thing as disorder; there is only complexity within simplicity.”",Wald Wassermann
"“The premise of the Absolute Anthropic Principle (AAP) is that the origin of everything including but not limited to all life, the world and the universe is Self not wanting to feel by itself and that the purpose of Self and as such the meaning of Life is nothing else but Companionship more commonly known as Love.”",Wald Wassermann
"“It is important to understand that most of us do not think about the world in the way we do because we have reasoned from first principles to a comprehensive understanding of the cosmos. Rather, we generally operate on the basis of intuitions that we have often unconsciously absorbed from the culture around us.”","Carl Trueman, The Rise and Triumph of the Modern Self"
