Quote,Author
"“I wish I could draw you how I see you. I'd draw a boy with the most magnetic smile, and the kindest hands, and eyes that are gloomy, but can sometimes be bright. I'd draw a boy who deserves to see the ocean.”",Jasmine Warga
“Create with the heart; build with the mind.”,Criss Jami
"“I cannot rest, I must draw, however poor the result, and when I have a bad time come over me it is a stronger desire than ever.”",Beatrix Potter
“All art is but dirtying the paper delicately.”,John Ruskin
"“We all have 10,000 bad drawings in us. The sooner we get them out the better.”",Walt Stanchfield
“I paint the spirit and soul of what I see.”,Brian Froud
"“I keep drawing the trees, the rocks, the river, I'm still learning how to see them; I'm still discovering how to render their forms. I will spend a lifetime doing that. Maybe someday I'll get it right.”",Alan Lee
"“If a restaurant offers crayons, I always take them and color throughout the meal. It beats talking to the people I came to dinner with.”",Stephan Pastis
"“When I draw something, I try to build some kind of history into it. Drawing an object that has a certain amount of wear and tear or rust; or a tree that is damaged. I love trying to render not just the object, but what it has been through.”",Alan Lee
"“Drawing makes you see things clearer, and clearer, and clearer still. The image is passing through you in a physiological way, into your brain, into your memory - where it stays - it's transmitted by your hands.”",Martin Gayford
“practice makes better”,Brian Lies
“It was amazing what an hour with her sketchpad could do for her mood. She was sure that the lines she drew with her black marker were going to save her years of worry lines in the future.”,Victoria Kahler
"“I've been actively engaged with mythic imagery ever since I picked up that Rackham book, but it really came into focus for me when I moved from London to the country. As I walked the extraordinary landscape of Dartmoor, I looked at the trees and the rocks and the hills and I could see the personality in those forms...then they metamorphosed under my pencil into faeries, goblins and trolls. After Alan and I published ""Faeries"", he moved on from the subject of faery folklore to illustrate Tolkien and other literary works...while I discovered that my own exploration of Faerieland had only just begun. In the countryside, the old stories seemed to come alive around me; the faeries were a tangible aspect of the landscape, pulses of spirit, emotion, and light. They ""insisted"" on taking form under my pencil, emerging on the page before me cloaked in archetypal shapes drawn from nature and myth. I'd attracted their attention, you see, and they hadn't finished with me yet.”",Brian Froud
