Quote,Author
"“When you want to know how things really work, study them when they're coming apart.”",William Gibson
"“But remember this, Japanese boy... airplanes are not tools for war. They are not for making money. Airplanes are beautiful dreams. Engineers turn dreams into reality.”",Hayao Miyazaki
"“Engineers like to solve problems. If there are no problems handily available, they will create their own problems.”",Scott Adams
“Anything which is physically possible can always be made financially possible; money is a bugaboo of small minds.”,Robert A. Heinlein
“One man’s “magic” is another man’s engineering. “Supernatural” is a null word.”,Robert Heinlein
“All we know about the new economic world tells us that nations which train engineers will prevail over those which train lawyers. No nation has ever sued its way to greatness. ”,Richard Lamm
“We tend to hear much more about the splendors returned than the ships that brought them or the shipwrights. It has always been that way. Even those history books enamored of the voyages of Christopher Columbus do not tell much about the builders of the Nina the Pinta and the Santa Maria or about the principle of the caravel. These spacecraft their designers builders navigators and controllers are examples of what science and engineering set free for well-defined peaceful purposes can accomplish. Those scientists and engineers should be role models for an America seeking excellence and international competitiveness. They should be on our stamps.”,Carl Sagan
"“The fewer moving parts, the better."" ""Exactly. No truer words were ever spoken in the context of engineering.”",Christian Cantrell
“To those who know the speech of hills and rivers straightening a stream is like shipping vagrants—a very successful method of passing trouble from one place to the next. It solves nothing in any collective sense.”,Aldo Leopold
"“Manufacturing is more than just putting parts together. It's coming up with ideas, testing principles and perfecting the engineering, as well as final assembly.”",James Dyson
"“Stephenson had large wrought-iron boiler plates available and he also had the courage of his calculations... The idea found its best-known expression in the Menai railway bridge opened in 1850. Stephenson's beams, which weighed 1,500 tons each, were built beside the Straits and were floated into position between the towers on rafts across a swirling tide. They were raised rather over a hundred feet up the towers by successive lifts with primitive hydraulic jacks. All this was not done without both apprehension and adventure; they were giants on the earth in those days.”",J. E. Gordon
“Automation is cost cutting by tightening the corners and not cutting them.”,Haresh Sippy
"“It is hardly surprising that the malodorous field of garbology has not attained the popularity of rocket science, oil exploration, or brain surgery.”",Hans Y. Tammemagi
"“As in real life, complex engineering designs demand a pragmatic approach.”",Haresh Sippy
"“In engineering, the joints are the most crucial. They have to be both firm and flexible, exactly like the joints in our body.”",Haresh Sippy
“Nanotechnology and physics present us with the tool for advances in building the future.”,Edilson Gomes de Lima
“There is dimensional space in everything and enough to accommodate the necessary intelligently and logically.”,Edilson Gomes de Lima
“Revolutionize and improve lighting technology as a field of nanotechnology studies.”,Edilson Gomes de Lima
“Unifying the sciences with a focus on materials generates the tools and skills for engineering to create the future.”,Edilson Gomes de Lima
"“Understanding nanotechnology in the surface area is not just thinking about how much technology can fit in a single pen, considering it is possible to place the entire British library on the tip of a pin.”",Edilson Gomes de Lima
"“Nanotechnology is a tool to transform products into new businesses, fields of study, and progress.”",Edilson Gomes de Lima
“Making visible what is invisible is the task of nanotechnology.”,Edilson Gomes de Lima
“Nanophysics is like art in science.”,Edilson Gomes de Lima
"“The three top professions in our planet are doctors, lawyers and engineers. The reason why these professions are acknowledged as the top 3 by our society because doctors save lives, lawyers save reputations and engineers save structures.”",Saaif Alam
"“Be a living electronic circuit. Practice resistance where needed, like a resistor. Preserve energy where needed, like a capacitor. Direct energy where needed, like a diode. And above all, be driven by a purpose, like an IC.”",Abhijit Naskar
"“Good engineer designs gadgets, great engineer designs society.”",Abhijit Naskar
"“The I.S.L.E. ISt inna LikE: Kit Inna kiT, Keep Inna seT Keys Inna lisT”",Jonathan Roy Mckinney
"“We no longer live in a world of classic and formal divisions between man-made technology and the natural world, but rather in a world of increasing synthesis of technology and nature, a techno-natural world. An example of such blurring and blending exists if we plant crops in flood prone areas that are flood tolerant (or that thrive on flooding) but which also mitigate soil erosion and flash flooding.  To effectively combat global warming and climate change, this blurring of technology and nature will be essential. To this mix we should, most often without any engineering compromise, also add in ethical and cultural value considerations.”",K. Lee Lerner
"“Have you ever wondered what makes a duck tick? Well, if you were to open one up, you'd discover that the ticking sound is made by tiny gears that wind around with precision and really make this waterproof bird a wonder of German engineering.”",Jarod Kintz
"“Engineering problems are under-defined, there are many solutions, good, bad and indifferent. The art is to arrive at a good solution. This is a creative activity, involving imagination, intuition and deliberate choice.”",Ove Arup
"“Engineers ... are not superhuman. They make mistakes in their assumptions, in their calculations, in their conclusions. That they make mistakes is forgivable; that they catch them is imperative. Thus it is the essence of modern engineering not only to be able to check one's own work but also to have one's work checked and to be able to check the work of others.”",Henry Petroski
"“The history of engineering is really the history of breakages, and of learning from those breakages. I was taught at college 'the engineer learns most on the scrapheap”",C. A. Claremont
"“Scientists study the world as it is, engineers create the world that never has been.”",Theodore von Karman
“Engineers have more words for screwing up than the Inuit have words for snow.”,Pierce Nichols
"“Due to the progressing sickness that the doctors appeared not to understand, I could only hold a job for months before I would be laid off. My manager would slowly become aware that I had health issues. Chronic fatigue and mental confusion are hard to hide on a daily basis! I was working for older electrical engineering managers and they also appeared to have health issues. One was constantly taking vitamin energy drinks, another had a brain tumor removed in the past, another would open his desk drawer and there would be several bottles of prescription medications in there, and another had been wondering the streets in confused state a year earlier! Engineering staff I was supervising had unusual personalities and issues with progressing their work. Some appeared to have health issues comparable to my own. This was the reality of my “American Dream”.”",Steven Magee
“Incompetence is prevalent in the engineering field.”,Steven Magee
"“His expertise took in anything manufactured in the old gross way from inorganic materials. He was totally lost with modern bacterial electronics, where computers were grown, not made. His work was greatly valued by a few historians of science, and virtually unknown to everyone else”",Lois McMaster Bujold
"“women must become enlightened or educated, because being enlightened encompasses all the fields of human science: Physiology, Geology, Geography, Chemistry, Physics, Astronomy, Engineering, Agriculture, Geometry, History, Music, and Painting...Education is a beautiful and necessary thing.”",Luisa Capetillo
"“La ingeniería de tejidos, busca reparar, reemplazar, mantener o mejorar la función de un órgano o tejido, creando un entorno extracelular en el que se incorporen las células”",Rosa Alicia Saucedo Acuña
"“To move forward, one needs to push backward.”",Joey Lawsin
"“I tried to write this story with a fast pace, tons of action and emotional drama, while sprinkling in engineering and economic facts here and there to help educate you, the reader, of the inner-workings of what it would actually take to roll out a real-life self-driving network.”",J. Luke Bennecke
"“Inventing is a combination of brains and material. The more brains you use, the less material you need”",Charles F. Kettering
“We humans are made by blood of passion.”,Sonal Takalkar
"“The world needs the kind of technology that lifts human condition, yet what we mostly have today is technology that elevates human comfort and degrades human condition.”",Abhijit Naskar
"“Your every work becomes organized, when you have artistic eyes. You will find an art & engineering in day to day life. For example, I would say, hanging of washed cloths on the rope also includes logic, art, physics & engineering. Drying of any cloth depends on the placing of the cloth after squeezing.”",Sonal Takalkar
"“I built my first circuit board, when I was eleven, without all the fancy resources available to the children in the west. But anybody can build a circuit, that's no biggie. Build a circuit that empowers a society - that my friend, is called humanitarian technology. And that’s the kind of technology this world desperately needs.”",Abhijit Naskar
“I saw things in Florida that I had only ever read about in engineering text books before.”,Steven Magee
"“When President Obama showed up to launch the Desoto Solar Farm, we were in the middle of dealing with the engineering disaster it really was!”",Steven Magee
“I am happy to testify under oath to the engineering disaster that the Desoto Solar Farm was.”,Steven Magee
"“When the dangerous DeSoto Solar Farm was turned off for the President Obama tour, I took it as an admission by the company that my engineering assessment was correct that it could spontaneously go on fire in front of the world’s media.”",Steven Magee
“The most sophisticated engineers are those that are self-taught. It is a journey that gives them a unique level of engineering intimacy.”,EmmanuelApetsi
"“Without context, clinging to those numbers was a form of madness.”",Jeff VanderMeer
"“MEASURABLE, IS THE DISTANCE BETWEEN SCIENCE AND ENGINEERING."" How? Light is Faster than Sound is 'Science'; Reducing the Distance between Light and Sound is 'Engineering'.”",P.S. Jagadeesh Kumar
“Bringing the focus of research to the control of matter is a great challenge to current progress.”,Edilson Gomes de Lima
"“If the science, method, or new technology presented sounds good, it is because it has reached the state of the art.”",Edilson Gomes de Lima
"“Like puzzles, scientific integration is a complex compendium that can become a development machine.”",Edilson Gomes de Lima
“Nanotechnology is a tool to see what is invisible.”,Edilson Gomes de Lima
"“Science is discovering the essential truths about what exists in the Universe, engineering is about creating things that never existed”",Elon Musk
“Parts DO NOT BREAK - we break them.”,Carroll Smith
"“A digital computer is essentially a huge army of clerks, equipped with rule books, pencil and paper, all stupid and entirely without initiative, but able to follow millions of precisely defined operations. The difficulty lies in handing over the rule book.”",Christopher W. Alexander
“Engineering is a profession that can do the job of almost all other professions.”,Amit Kalantri
"“I found myself wishing that the rest of mankind would follow the engineers' example and agree on a series of symbols which could point incontrovertibly to certain elusive, vaporous and often painful psychological states — a code which might help us feel less tongue-tied and less lonely, and enable us to resolve arguments with swift and silent exchanges of equations.”",Alain de Botton
"“Whoever pretends that a technician, an architect, a doctor, an engineer, or any type of scientist should merely work with the in­struments in his own specific field while his people starve to death or fall in battle, has in fact taken the side of the enemy. He is not apolitical, he is political-but in opposition to movements for lib­eration.”",Che Guevara
"“No investment in STEM education is too big or small, we must invest in it always, our investment in it will pave way for future growth in science, technology, engineering, and mathematics.”",Bamigboye Olurotimi
"“Research and development is very important in the growth and success of mankind, no nation or people becomes great without these two, and the STEM education is here to assist us.”",Bamigboye Olurotimi
"“In order for us to sustain growth and stability, there is need for us to embrace and promote the STEM education, STEM education is a gateway to improved economy, and also an avenue for technological advancement.”",Bamigboye Olurotimi
"“STEM education is very important to mankind just like the water we drink and the air we breathe in, we need it to produce more critical thinkers, problem solvers, innovators, and the world best economy drivers.”",Bamigboye Olurotimi
"“Children these days are very intelligent and brilliant, they are enthusiastic in nature. We need to grow their knowledge, understanding, and curiosity using the STEM education.”",Bamigboye Olurotimi
“There is something to be said about designing and building the machine of your dreams.”,A.E. Samaan
“There is something to be said about designing the machine of your dreams.”,A.E. Samaan
"“Amateurs only study successful projects, professionals study failures.”",Larrie D. Ferreiro
"“Nowadays, whether we like it or not, we are stuck with one form or another of advanced technology and we have got to make it work safely and efficiently: this involves, among other things, the intelligent application of structural theory. However, man does not live by safety and efficiency alone, and we have to face the fact that, visually, the world is becoming an increasingly depressing place. It is not, perhaps, so much the occurrence of what might be described as 'active ugliness' as the prevalence of the dull and the commonplace. Far too seldom is the heart rejoiced or does one feel any better or happier for looking at the works of modern man. Yet most of the artefacts of the eighteenth century, even quite humble and trivial ones, seem to many of us to be at least pleasing and sometimes incomparably beautiful. To that extent people—all people—in the eighteenth century lived richer lives than most of us do today. This is reflected in the prices we pay nowadays for period houses and antiques. A society which was more creative and self-confident would not feel quite so strong a nostalgia for its great-grandfathers' buildings and household looks.”",J.E. Gordon
“Being proactive is being in control.”,Evelyn Tan
"“Engineering is the art of modeling materials we do not wholly understand, into shapes we cannot precisely analyze, so as to withstand forces we cannot properly assess, in such a way that the public has no reason to suspect”",Dr. E. H. Brown
“Philosophy just engineering by another name.”,Gareth L. Powell
"“The day we start reading nature, the animals, the trees, the birds, and the ones that live in the water. We would understand divine engineering within them and when we would wonder about what has been kept in them we would then wonder about ourselves too and start thinking about ourselves and gets to know the truth about us, our reality, and why we are here for. We would then be knowing wonders within and know the engineer that sits within all of us. That's the start of spirituality the one who knows thyself knows thy god.”",Aiyaz Uddin
"“Making good engineering decisions is all about weighing all of the available inputs and making informed decisions about the trade-offs. Sometimes, those decisions are based on instinct or accepted best practice, but only after we have exhausted approaches that try to measure or estimate the true underlying costs.”",Titus Winters
"“If you see me make sure you say I Don't Do It, U Do It!!!”",U Do It
"“If you're opening a tool, and it doesn't open easy, change the way you open it otherwise you'll break it. If requires force, you're doing it wrong. Strong models are built on technique not force.”",JBrocksfellas
"“I am a scientist, but don't make the mistake of thinking of me as yet another shaky scientist. Before I was a scientist, I was a monk - before I was a monk, I was an engineering student – and even before that I was a martial artist. So be very careful, for there's nothing more dangerous than a wounded scientist. Science is literally the only super power in the world. And I’ve been playing with science, before I could speak english. When my teenage peers were obsessing over getting high, I was obsessed with building circuits. I gave it all up, because society has plenty innovators, but zero reformer scientist.”",Abhijit Naskar
"“Engineering or Technology is the making of things that did not previously exist, whereas science is the discovering of things that have long existed.”",David P. Billington
"“Modern architects and engineers are still trying to understand how the ancient Greeks were able to build the Parthenon in ten years when the restoration of the monument has continued for more than three decades and is still not complete. What they have learned and shared along this arduous path of rediscovery is that the Greeks were highly skilled at building visual compensations into their structures. Columns were crafted and positioned to compensate for how the eye interprets what it sees at a distance. Subtle variances in the surface of platforms, columns, and colonnades provide the appearance of geometric proportion, whereas if they had worked from the perspective of a flat datum surface, the brain would interpret the results as being slightly skewed.”",Christopher Dunn
