Quote,Author
"“When the climbers in 1953 planted their flags on the highest mountain, they set them in snow over the skeletons of creatures that had lived in the warm clear ocean that India, moving north, blanked out. Possibly as much as twenty thousand feet below the seafloor, the skeletal remains had turned into rock. This one fact is a treatise in itself on the movements of the surface of the earth. If by some fiat I had to restrict all this writing to one sentence, this is the one I would choose: The summit of Mt. Everest is marine limestone.”",John McPhee
"“If the people of Europe had known as much of astronomy and geology when the bible was introduced among them, as they do now, there never could have been one believer in the doctrine of inspiration. If the writers of the various parts of the bible had known as much about the sciences as is now known by every intelligent man, the book never could have been written. It was produced by ignorance, and has been believed and defended by its author. It has lost power in the proportion that man has gained knowledge. A few years ago, this book was appealed to in the settlement of all scientific questions; but now, even the clergy confess that in such matters, it has ceased to speak with the voice of authority. For the establishment of facts, the word of man is now considered far better than the word of God. In the world of science, Jehovah was superseded by Copernicus, Galileo, and Kepler. All that God told Moses, admitting the entire account to be true, is dust and ashes compared to the discoveries of Descartes, Laplace, and Humboldt. In matters of fact, the bible has ceased to be regarded as a standard. Science has succeeded in breaking the chains of theology. A few years ago, Science endeavored to show that it was not inconsistent with the bible. The tables have been turned, and now, Religion is endeavoring to prove that the bible is not inconsistent with Science. The standard has been changed.”",Robert G. Ingersoll
"“The geologist takes up the history of the earth at the point where the archaeologist leaves it, and carries it further back into remote antiquity.”",Bal Gangadhar Tilak
"“No Geologist worth anything is permanently bound to a desk or laboratory, but the charming notion that true science can only be based on unbiased observation of nature in the raw is mythology. Creative work, in geology and anywhere else, is interaction and synthesis: half-baked ideas from a bar room, rocks in the field, chains of thought from lonely walks, numbers squeezed from rocks in a laboratory, numbers from a calculator riveted to a desk, fancy equipment usually malfunctioning on expensive ships, cheap equipment in the human cranium, arguments before a road cut.”",Stephen Jay Gould
“Soft as the earth is mankind and both need to be altered.”,W. H. Auden
"“To a naturalist nothing is indifferent; the humble moss that creeps upon the stone is equally interesting as the lofty pine which so beautifully adorns the valley or the mountain: but to a naturalist who is reading in the face of the rocks the annals of a former world, the mossy covering which obstructs his view, and renders indistinguishable the different species of stone, is no less than a serious subject of regret.”",James Hutton
"“Ahead and to the west was our ranger station - and the mountains of Idaho, poems of geology stretching beyond any boundaries and seemingly even beyond the world.”",Norman Maclean
"“Perhaps I shall not write my account of the Paleolithic at all, but make a film of it. A silent film at that, in which I shall show you first the great slumbering rocks of the Cambrian period, and move from those to the mountains of Wales, from Ordovician to Devonian, on the lush glowing Cotswolds, on to the white cliffs of Dover... An impressionistic, dreaming film, in which the folded rocks arise and flower and grow and become Salisbury Cathedral and York Minster...”",Penelope Lively
"“It was during my enchanted days of travel that the idea came to me, which, through the years, has come into my thoughts again and again and always happily—the idea that geology is the music of the earth.”",Hans Cloos
"“I went into geology because I like being outdoors, and because everybody in geology seemed, well, they all seemed like free spirits or renegades or something. You know, climbing mountains and hiking deserts and stuff.”",Kathy B. Steele
“Nevada...a land that is geology by day and astronomy at night”,Richard G. Lillard
