Quote,Author
“History will be kind to me for I intend to write it.”,Winston S. Churchill
"“Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.”",Steve Maraboli
"“The best moments in reading are when you come across something – a thought, a feeling, a way of looking at things – which you had thought special and particular to you. Now here it is, set down by someone else, a person you have never met, someone even who is long dead. And it is as if a hand has come out and taken yours.”",Alan Bennett
"“If you don't know history, then you don't know anything. You are a leaf that doesn't know it is part of a tree. ”",Michael Crichton
"“I can only note that the past is beautiful because one never realises an emotion at the time. It expands later, and thus we don't have complete emotions about the present, only about the past.”",Virginia Woolf
“The most effective way to destroy people is to deny and obliterate their own understanding of their history.”,George Orwell
"“History doesn't repeat itself, but it does rhyme.”",Mark Twain
“thus with a kiss I die”,William Shakespeare
“People have an annoying habit of remembering things they shouldn't.”,Christopher Paolini
"“Every moment happens twice: inside and outside, and they are two different histories.”",Zadie Smith
“I was alive when the Dead Sea was just a lake that was feeling a little poorly.”,Cassandra Clare
“The soul becomes dyed with the colour of its thoughts.”,Marcus Aurelius
“The first duty of a man is to think for himself”,Jose Marti
“The world is changed because you are made of ivory and gold. The curves of your lips rewrite history.”,Oscar Wilde
“Never say more than is necessary.”,Richard Brinsley Sheridan
"“If anyone tells you that a certain person speaks ill of you, do not make excuses about what is said of you but answer, ""He was ignorant of my other faults, else he would not have mentioned these alone.”",Epictetus
“We'll be remembered more for what we destroy than what we create.”,Chuck Palahniuk
"“One of the saddest lessons of history is this: If we’ve been bamboozled long enough, we tend to reject any evidence of the bamboozle. We’re no longer interested in finding out the truth. The bamboozle has captured us. It’s simply too painful to acknowledge, even to ourselves, that we’ve been taken. Once you give a charlatan power over you, you almost never get it back.”",Carl Sagan
"“History, like love, is so apt to surround her heroes with an atmosphere of imaginary brightness.”",James Fenimore Cooper
“Study the past if you would define the future.”,Confucius
"“History is always written by the winners. When two cultures clash, the loser is obliterated, and the winner writes the history books-books which glorify their own cause and disparage the conquered foe. As Napoleon once said, 'What is history, but a fable agreed upon?”",Dan Brown
"“History, Stephen said, is a nightmare from which I am trying to awake.”",James Joyce
"“Remember, remember always, that all of us, and you and I especially, are descended from immigrants and revolutionists.”",Franklin D. Roosevelt
“History is a set of lies agreed upon.”,Napoleon Bonaparte
"“Those who do not move, do not notice their chains.”",Rosa Luxemburg
“That men do not learn very much from the lessons of history is the most important of all the lessons that history has to teach.”,Aldous Huxley
“Those who don't know history are doomed to repeat it.”,Edmund Burke
“The past is a foreign country; they do things differently there.”,L.P. Hartley
"“People are always shouting they want to create a better future. It's not true. The future is an apathetic void of no interest to anyone. The past is full of life, eager to irritate us, provoke and insult us, tempt us to destroy or repaint it. The only reason people want to be masters of the future is to change the past.”",Milan Kundera
"“You show me a capitalist, and I'll show you a bloodsucker”",Malcom X
“Freedom in capitalist society always remains about the same as it was in ancient Greek republics: Freedom for slave owners.”,Vladimir Lenin
"“The human race tends to remember the abuses to which it has been subjected rather than the endearments. What's left of kisses? Wounds, however, leave scars.”",Bertolt Brecht
"“To be ignorant of what occurred before you were born is to remain always a child. For what is the worth of human life, unless it is woven into the life of our ancestors by the records of history?”",Marcus Tullius Cicero
“History is that certainty produced at the point where the imperfections of memory meet the inadequacies of documentation.”,Julian Barnes
"“Every record has been destroyed or falsified, every book rewritten, every picture has been repainted, every statue and street building has been renamed, every date has been altered. And the process is continuing day by day and minute by minute. History has stopped. Nothing exists except an endless present in which the Party is always right.”",George Orwell
"“Do you really believe ... that everything historians tell us about men – or about women – is actually true? You ought to consider the fact that these histories have been written by men, who never tell the truth except by accident.”",Moderata Fonte
"“When a man learns to love, he must bear the risk of hatred.”",Uchiha Madara
"“Sometimes I feel like we're a knot, too tangled to be taken apart.”",Kiera Cass
“The end may justify the means as long as there is something that justifies the end.”,Leon Trotsky
"“The Revolution introduced me to art, and in turn, art introduced me to the Revolution!”",Albert Einstein
"“Remember that all through history, there have been tyrants and murderers, and for a time, they seem invincible. But in the end, they always fall. Always.”",Mahatma Gandhi
"“History, in general, only informs us what bad government is.”",Thomas Jefferson
"“When, however, one reads of a witch being ducked, of a woman possessed by devils, of a wise woman selling herbs, or even of a very remarkable man who had a mother, then I think we are on the track of a lost novelist, a suppressed poet, of some mute and inglorious Jane Austen, some Emily Bronte who dashed her brains out on the moor or mopped and mowed about the highways crazed with the torture that her gift had put her to. Indeed, I would venture to guess that Anon, who wrote so many poems without signing them, was often a woman.”",Virginia Woolf
“The sea is nothing but a library of all the tears in history.”,Lemony Snicket
"“If history were taught in the form of stories, it would never be forgotten.”",Rudyard Kipling
"“I am at the moment writing a lengthy indictment against our century. When my brain begins to reel from my literary labors, I make an occasional cheese dip.”",John Kennedy Toole
“Reality denied comes back to haunt.”,Philip K. Dick
"“The farther backward you can look, the farther forward you are likely to see.”",Winston S. Churchill
"“I saw the world from the stars' point of view, and it looked unbearably lonely.”",Shaun David Hutchinson
"“Where I'm from, we believe in all sorts of things that aren't true... we call it history.”",Gregory Maguire
“History is written by the victors.”,Walter Benjamin
"“Books permit us to voyage through time, to tap the wisdom of our ancestors. The library connects us with the insight and knowledge, painfully extracted from Nature, of the greatest minds that ever were, with the best teachers, drawn from the entire planet and from all our history, to instruct us without tiring, and to inspire us to make our own contribution to the collective knowledge of the human species. I think the health of our civilization, the depth of our awareness about the underpinnings of our culture and our concern for the future can all be tested by how well we support our libraries.”",Carl Sagan
"“Not to know what has been transacted in former times is to be always a child. If no use is made of the labours of past ages, the world must remain always in the infancy of knowledge.”",Marcus Tullius Cicero
"“You are not a victim. No matter what you have been through, you're still here. You may have been challenged, hurt, betrayed, beaten, and discouraged, but nothing has defeated you. You are still here! You have been delayed but not denied. You are not a victim, you are a victor. You have a history of victory.”",Steve Maraboli
“Those unable to catalog the past are doomed to repeat it.”,Lemony Snicket
“History is written by the winners.”,Napoleon Bonaparte
"“You know the saying: he who doesn't understand history is doomed to repeat it. And when it's repeated, the stakes are doubled.”",Pittacus Lore
"“[I]f we revert to history, we shall find that the women who have distinguished themselves have neither been the most beautiful nor the most gentle of their sex.”",Mary Wollstonecraft
“,Karl Marx
"“The only way we'll get freedom for ourselves is to identify ourselves with every oppressed people in the world. We are blood brothers to the people of Brazil, Venezuela, Haiti, Cuba -- yes Cuba too.”",Malcolm X
"“By its very nature, history is always a one-sided account.”",Dan Brown
"“Civil government, so far as it is instituted for the security of property, is in reality instituted for the defense of the rich against the poor, or of those who have some property against those who have none at all.”",Adam Smith
"“Despair is typical of those who do not understand the causes of evil, see no way out, and are incapable of struggle.”",Vladimir Lenin
