Quote,Author
“Do one thing every day that scares you.”,Eleanor Roosevelt
"“We are what we pretend to be, so we must be careful about what we pretend to be.”",Kurt Vonnegut
"“When we love, we always strive to become better than we are. When we strive to become better than we are, everything around us becomes better too.”",Paulo Coelho
"“Sometimes you wake up. Sometimes the fall kills you. And sometimes, when you fall, you fly.”",Neil Gaiman
"“And now here is my secret, a very simple secret: It is only with the heart that one can see rightly; what is essential is invisible to the eye.”",Antoine de Saint-Exupéry
“Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.”,Roy T. Bennett
"“Instead of worrying about what you cannot control, shift your energy to what you can create.”",Roy T. Bennett
"“We delight in the beauty of the butterfly, but rarely admit the changes it has gone through to achieve that beauty.”",Maya Angelou
“What's meant to be will always find a way”,Trisha Yearwood
“The flower that blooms in adversity is the rarest and most beautiful of all.”,Walt Disney Company
“Be the reason someone smiles. Be the reason someone feels loved and believes in the goodness in people.”,Roy T. Bennett
"“Courage is the most important of all the virtues because without courage, you can't practice any other virtue consistently.”",Maya Angelou
"“Respect other people's feelings. It might mean nothing to you, but it could mean everything to them.”",Roy T. Bennett
“Be mindful. Be grateful. Be positive. Be true. Be kind.”,Roy T. Bennett
“The unexamined life is not worth living.”,Socrates
"“Accept yourself, love yourself, and keep moving forward. If you want to fly, you have to give up what weighs you down.”",Roy T. Bennett
“You never have to change anything you got up in the middle of the night to write.”,Saul Bellow
"“Life is too short to waste your time on people who don’t respect, appreciate, and value you.”",Roy T. Bennett
"“Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.”",Roy T. Bennett
“Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.”,Roy T. Bennett
"“Don’t waste your time in anger, regrets, worries, and grudges. Life is too short to be unhappy.”",Roy T. Bennett
"“Don't let the expectations and opinions of other people affect your decisions. It's your life, not theirs. Do what matters most to you; do what makes you feel alive and happy. Don't let the expectations and ideas of others limit who you are. If you let others tell you who you are, you are living their reality — not yours. There is more to life than pleasing people. There is much more to life than following others' prescribed path. There is so much more to life than what you experience right now. You need to decide who you are for yourself. Become a whole being. Adventure.”",Roy T. Bennett
"“It’s only after you’ve stepped outside your comfort zone that you begin to change, grow, and transform.”",Roy T. Bennett
"“Even if you cannot change all the people around you, you can change the people you choose to be around. Life is too short to waste your time on people who don’t respect, appreciate, and value you. Spend your life with people who make you smile, laugh, and feel loved.”",Roy T. Bennett
"“You cannot control the behavior of others, but you can always choose how you respond to it.”",Roy T. Bennett
"“More smiling, less worrying. More compassion, less judgment. More blessed, less stressed. More love, less hate.”",Roy T. Bennett
“I was never really insane except upon occasions when my heart was touched.”,Edgar Allan Poe
"“It is good to love many things, for therein lies the true strength, and whosoever loves much performs much, and can accomplish much, and what is done in love is well done.”",Vincent Van Gogh
“Life becomes easier and more beautiful when we can see the good in other people.”,Roy T. Bennett
"“If you want to be happy, do not dwell in the past, do not worry about the future, focus on living fully in the present.”",Roy T. Bennett
"“You have power over your mind - not outside events. Realize this, and you will find strength.”",Marcus Aurelius
"“Success is not how high you have climbed, but how you make a positive difference to the world.”",Roy T. Bennett
"“The things you do for yourself are gone when you are gone, but the things you do for others remain as your legacy.”",Kalu Ndukwe Kalu
"“Pursue what catches your heart, not what catches your eyes.”",Roy T. Bennett
“Pain is temporary. Quitting lasts forever.”,Lance Armstrong Sally Jenkins
"“It's not the load that breaks you down, it's the way you carry it.”",Lou Holtz
“Learn to light a candle in the darkest moments of someone’s life. Be the light that helps others see; it is what gives life its deepest significance.”,Roy T. Bennett
"“Make improvements, not excuses. Seek respect, not attention.”",Roy T. Bennett
“Start each day with a positive thought and a grateful heart.”,Roy T. Bennett
