Quote,Author
"“Without music, life would be a mistake.”",Friedrich Nietzsche
"“One good thing about music, when it hits you, you feel no pain.”",Bob Marley
“Music expresses that which cannot be put into words and that which cannot remain silent”,Victor hugo
“And those who were seen dancing were thought to be insane by those who could not hear the music.”,Friedrich Nietzsche
“People haven't always been there for me but music always has.”,Taylor Swift
“Music was my refuge. I could crawl into the space between the notes and curl my back to loneliness.”,Maya Angelou
“None but ourselves can free our minds.”,Bob Marley
"“Without deviation from the norm, progress is not possible.”",Frank Zappa
“Some people have lives; some people have music.”,John Green
"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",Albert Einstein
"“After silence, that which comes nearest to expressing the inexpressible is music.”",Aldous Huxley
"“One ought, every day at least, to hear a little song, read a good poem, see a fine picture, and, if it were possible, to speak a few reasonable words.”",Johann Wolfgang von Goethe
“We should consider every day lost on which we have not danced at least once.”,Friedrich Wilhelm Nietzsche
"“Life, he realize, was much like a song. In the beginning there is mystery, in the end there is confirmation, but it's in the middle where all the emotion resides to make the whole thing worthwhile.”",Nicholas Sparks
"“And I thought about how many people have loved those songs. And how many people got through a lot of bad times because of those songs. And how many people enjoyed good times with those songs. And how much those songs really mean. I think it would be great to have written one of those songs. I bet if I wrote one of them, I would be very proud. I hope the people who wrote those songs are happy. I hope they feel it's enough. I really do because they've made me happy. And I'm only one person.”",Stephen Chbosky
“Music expresses that which cannot be said and on which it is impossible to be silent.”,Victor Hugo
"“People worry about kids playing with guns, and teenagers watching violent videos; we are scared that some sort of culture of violence will take them over. Nobody worries about kids listening to thousands - literally thousands - of songs about broken hearts and rejection and pain and misery and loss.”",Nick Hornby
"“Ah, music,"" he said, wiping his eyes. ""A magic beyond all we do here!”",J.K. Rowling
“It's no good pretending that any relationship has a future if your record collections disagree violently or if your favorite films wouldn't even speak to each other if they met at a party.”,Nick Hornby
“There are two means of refuge from the misery of life — music and cats.”,Albert Schweitzer
"“We are the music makers, and we are the dreamers of dreams.”",Arthur William Edgar O'Shaughnessy
"“If I had my life to live over again, I would have made a rule to read some poetry and listen to some music at least once every week.”",Charles Darwin
"“Where words leave off, music begins.”",Heinrich Heine
“The only truth is music.”,Jack Kerouac
“Why do beautiful songs make you sad?' 'Because they aren't true.' 'Never?' 'Nothing is beautiful and true.”,Jonathan Safran Foer
“Music is ... A higher revelation than all Wisdom & Philosophy”,Ludwig van Beethoven
