Quote,Author
"“A human being is a part of the whole called by us universe, a part limited in time and space. He experiences himself, his thoughts and feeling as something separated from the rest, a kind of optical delusion of his consciousness. This delusion is a kind of prison for us, restricting us to our personal desires and to affection for a few persons nearest to us. Our task must be to free ourselves from this prison by widening our circle of compassion to embrace all living creatures and the whole of nature in its beauty.”",Albert Einstein
"“I felt my lungs inflate with the onrush of scenery—air, mountains, trees, people. I thought, ""This is what it is to be happy.”",Sylvia Plath
“The clearest way into the Universe is through a forest wilderness.”,John Muir
“I wonder if the snow,Lewis Carroll
"“...and then, I have nature and art and poetry, and if that is not enough, what is enough?”",Vincent Willem van Gogh
"“The sunlight claps the earth, and the moonbeams kiss the sea: what are all these kissings worth, if thou kiss not me?”",Percy Bysshe Shelley
“The mountains are calling and I must go.”,John Muir
“I like this place and could willingly waste my time in it.”,William Shakespeare
“I like it when a flower or a little tuft of grass grows through a crack in the concrete. It's so fuckin' heroic.”,George Carlin
"“Don't be ashamed to weep; 'tis right to grieve. Tears are only water, and flowers, trees, and fruit cannot grow without water. But there must be sunlight also. A wounded heart will heal in time, and when it does, the memory and love of our lost ones is sealed inside to comfort us.”",Brian Jacques
"“The best remedy for those who are afraid, lonely or unhappy is to go outside, somewhere where they can be quite alone with the heavens, nature and God. Because only then does one feel that all is as it should be and that God wishes to see people happy, amidst the simple beauty of nature. As longs as this exists, and it certainly always will, I know that then there will always be comfort for every sorrow, whatever the circumstances may be. And I firmly believe that nature brings solace in all troubles.”",Anne Frank
"“In the spring, at the end of the day, you should smell like dirt.”",Margaret Atwood
“Adopt the pace of nature: her secret is patience.”,Ralph Waldo Emerson
"“A quiet secluded life in the country, with the possibility of being useful to people to whom it is easy to do good, and who are not accustomed to have it done to them; then work which one hopes may be of some use; then rest, nature, books, music, love for one's neighbor — such is my idea of happiness.”",Leo Tolstoy
"“Those who contemplate the beauty of the earth find reserves of strength that will endure as long as life lasts. There is something infinitely healing in the repeated refrains of nature -- the assurance that dawn comes after night, and spring after winter.”",Rachel Carson
“Should you shield the canyons from the windstorms you would never see the true beauty of their carvings.”,Elisabeth Kübler-Ross
"“We need the tonic of wildness...At the same time that we are earnest to explore and learn all things, we require that all things be mysterious and unexplorable, that land and sea be indefinitely wild, unsurveyed and unfathomed by us because unfathomable. We can never have enough of nature.”",Henry David Thoreau
"“If I were a tree, I would have no reason to love a human.”",Maggie Stiefvater
"“Live in each season as it passes; breathe the air, drink the drink, taste the fruit, and resign yourself to the influence of the earth.”",Henry David Thoreau
“I am glad I will not be young in a future without wilderness.”,Aldo Leopold
"“Not just beautiful, though--the stars are like the trees in the forest, alive and breathing. And they're watching me.”",Haruki Murakami
"“He was mastered by the sheer surging of life, the tidal wave of being, the perfect joy of each separate muscle, joint, and sinew in that it was everything that was not death, that it was aglow and rampant, expressing itself in movement, flying exultantly under the stars.”",Jack London
"“Climb the mountains and get their good tidings. Nature's peace will flow into you as sunshine flows into trees. The winds will blow their own freshness into you, and the storms their energy, while cares will drop away from you like the leaves of Autumn.”",John Muir
“Our task must be to free ourselves... by widening our circle of compassion to embrace all living creatures and the whole of nature and it's beauty.”,Albert Einstein
"“The sea is emotion incarnate. It loves, hates, and weeps. It defies all attempts to capture it with words and rejects all shackles. No matter what you say about it, there is always that which you can't.”",Christopher Paolini
"“Thousands of tired, nerve-shaken, over-civilized people are beginning to find out that going to the mountains is going home; that wildness is a necessity”",John Muir
"“Doubt as sin. — Christianity has done its utmost to close the circle and declared even doubt to be sin. One is supposed to be cast into belief without reason, by a miracle, and from then on to swim in it as in the brightest and least ambiguous of elements: even a glance towards land, even the thought that one perhaps exists for something else as well as swimming, even the slightest impulse of our amphibious nature — is sin! And notice that all this means that the foundation of belief and all reflection on its origin is likewise excluded as sinful. What is wanted are blindness and intoxication and an eternal song over the waves in which reason has drowned.”",Friedrich Nietzsche
“The poetry of the earth is never dead.”,John Keats
“Nature is a haunted house--but Art--is a house that tries to be haunted.”,Emily Dickinson
"“You will manage to keep a woman in love with you, only for as long as you can keep her in love with the person she becomes when she is with you.”",C. JoyBell C.
"“We know that God is everywhere; but certainly we feel His presence most when His works are on the grandest scale spread before us; and it is in the unclouded night-sky, where His worlds wheel their silent course, that we read clearest His infinitude, His omnipotence, His omnipresence.”",Charlotte Brontë
“The world's big and I want to have a good look at it before it gets dark.”,John Muir
“This life is yours. Take the power to choose what you want to do and do it well. Take the power to love what you want in life and love it honestly. Take the power to walk in the forest and be a part of nature. Take the power to control your own life. No one else can do it for you. Take the power to make your life happy.”,Susan Polis Schutz
“A kiss is a lovely trick designed by nature to stop speech when words become superfluous.”,Ingrid Bergman
"“The tree which moves some to tears of joy is in the eyes of others only a green thing that stands in the way. Some see nature all ridicule and deformity... and some scarce see nature at all. But to the eyes of the man of imagination, nature is imagination itself.”",William Blake
“Once there were brook trout in the streams in the mountains. You could see them standing in the amber current where the white edges of their fins wimpled softly in the flow. They smelled of moss in your hand. Polished and muscular and torsional. On their backs were vermiculate patterns that were maps of the world in its becoming. Maps and mazes. Of a thing which could not be put back. Not be made right again. In the deep glens where they lived all things were older than man and they hummed of mystery.”,Cormac McCarthy
"“An appeaser is one who feeds a crocodile, hoping it will eat him last.”",Winston S. Churchill
“The creation of a thousand forests is in one acorn”,Ralph Waldo Emerson
“Heaven is under our feet as well as over our heads.”,Henry David Thoreau
“Nature is not a place to visit. It is home.”,Gary Snyder
"“If the stars should appear one night in a thousand years, how would men believe and adore; and preserve for many generations the remembrance of the city of God which had been shown! But every night come out these envoys of beauty, and light the universe with their admonishing smile.”",Ralph Waldo Emerson
"“When you do something noble and beautiful and nobody noticed, do not be sad. For the sun every morning is a beautiful spectacle and yet most of the audience still sleeps.”",John Lennon
"“I felt like lying down by the side of the trail and remembering it all. The woods do that to you, they always look familiar, long lost, like the face of a long-dead relative, like an old dream, like a piece of forgotten song drifting across the water, most of all like golden eternities of past childhood or past manhood and all the living and the dying and the heartbreak that went on a million years ago and the clouds as they pass overhead seem to testify (by their own lonesome familiarity) to this feeling.”",Jack Kerouac
"“Thus, from the war of nature, from famine and death, the most exalted object which we are capable of conceiving, namely, the production of the higher animals, directly follows. There is grandeur in this view of life, with its several powers, having been originally breathed into a few forms or into one; and that, whilst this planet has gone cycling on according to the fixed law of gravity, from so simple a beginning endless forms most beautiful and most wonderful have been, and are being, evolved.”",Charles Darwin
"“We kill all the caterpillars, then complain there are no butterflies.”",John Marsden
"“Man is not, by nature, deserving of all that he wants. When we think that we are automatically entitled to something, that is when we start walking all over others to get it.”",Criss Jami
"“Rest is not idleness, and to lie sometimes on the grass under trees on a summer's day, listening to the murmur of the water, or watching the clouds float across the sky, is by no means a waste of time.”",John Lubbock
"“The goal of life is to make your heartbeat match the beat of the universe, to match your nature with Nature.”",Joseph Campbell
"“I only went out for a walk and finally concluded to stay out till sundown, for going out, I found, was really going in.”",John Muir
"“We could never have loved the earth so well if we had had no childhood in it, if it were not the earth where the same flowers come up again every spring that we used to gather with our tiny fingers as we sat lisping to ourselves on the grass, the same hips and haws on the autumn hedgerows, the same redbreasts that we used to call ‘God’s birds’ because they did no harm to the precious crops. What novelty is worth that sweet monotony where everything is known and loved because it is known?”",George Eliot
"“Plant seeds of happiness, hope, success, and love; it will all come back to you in abundance. This is the law of nature.”",Steve Maraboli
"“Autumn leaves don't fall, they fly. They take their time and wander on this their only chance to soar.”",Delia Owens
“I am losing precious days. I am degenerating into a machine for making money. I am learning nothing in this trivial world of men. I must break away and get out into the mountains to learn the news”,John Muir
“I would feel more optimistic about a bright future for man if he spent less time proving that he can outwit Nature and more time tasting her sweetness and respecting her seniority.”,E. B. White
"“If you suddenly and unexpectedly feel joy, don’t hesitate. Give in to it. There are plenty of lives and whole towns destroyed or about to be. We are not wise, and not very often kind. And much can never be redeemed. Still life has some possibility left. Perhaps this is its way of fighting back, that sometimes something happened better than all the riches or power in the world. It could be anything, but very likely you notice it in the instant when love begins. Anyway, that’s often the case. Anyway, whatever it is, don’t be afraid of its plenty. Joy is not made to be a crumb. (Don't Hesitate)”",Mary Oliver
“I'd rather have roses on my table than diamonds on my neck.”,Emma Goldman
"“Looking at beauty in the world, is the first step of purifying the mind.”",Amit Ray
"“I went to the woods because I wished to live deliberately, to front only the essential facts of life, and see if I could not learn what it had to teach, and not, when I came to die, discover that I had not lived.”",Henry David Thoreau
“There are nights when the wolves are silent and only the moon howls.”,George Carlin
"“There's a sunrise and a sunset every single day, and they're absolutely free. Don't miss so many of them.”",Jo Walton
"“I believe in God, only I spell it Nature.”",Frank Lloyd Wright
"“Love the trees until their leaves fall off, then encourage them to try again next year.”",Chad Sugg
"“People go on marrying because they can't resist natural forces, although many of them may know perfectly well that they are possibly buying a month's pleasure with a life's discomfort.”",Thomas Hardy
“Nature is pleased with simplicity. And nature is no dummy”,Isaac Newton
