Quote,Author
"“In the beginning there was nothing, which exploded.”",Terry Pratchett
“Nothing happens until something moves.”,Albert Einstein
"“I'll be looking for you, Will, every moment, every single moment. And when we do find each other again, we'll cling together so tight that nothing and no one'll ever tear us apart. Every atom of me and every atom of you... We'll live in birds and flowers and dragonflies and pine trees and in clouds and in those little specks of light you see floating in sunbeams... And when they use our atoms to make new lives, they wont' just be able to take one, they'll have to take two, one of you and one of me, we'll be joined so tight...”",Philip Pullman
“Our civil rights have no dependence on our religious opinions any more than our opinions in physics or geometry...”,Thomas Jefferson
“Physics isn't the most important thing. Love is.”,Richard P. Feynman
“Photons have mass? I didn’t even know they were Catholic.”,Woody Allen
"“Not only is the Universe stranger than we think, it is stranger than we can think.”",Werner Heisenberg
"“No, this trick won't work... How on earth are you ever going to explain in terms of chemistry and physics so important a biological phenomenon as first love? ”",Albert Einstein
"“Sometimes I wonder if my heart is like a black hole--it's so dense that there's no room for light, but that doesn't mean it can't still suck me in.”",Jasmine Warga
"“The role played by time at the beginning of the universe is, I believe, the final key to removing the need for a Grand Designer, and revealing how the universe created itself. … Time itself must come to a stop. You can’t get to a time before the big bang, because there was no time before the big bang. We have finally found something that does not have a cause because there was no time for a cause to exist in. For me this means there is no possibility of a creator because there is no time for a creator to have existed. Since time itself began at the moment of the Big Bang, it was an event that could not have been caused or created by anyone or anything. … So when people ask me if a god created the universe, I tell them the question itself makes no sense. Time didn’t exist before the Big Bang, so there is no time for God to make the universe in. It’s like asking for directions to the edge of the Earth. The Earth is a sphere. It does not have an edge, so looking for it is a futile exercise.”",Stephen W. Hawking
"“I once read in my physics book that the universe begs to be observed, that energy travels and transfers when people pay attention. Maybe that's what love really boils down to--having someone who cares enough to pay attention so that you're encouraged to travel and transfer, to make your potential energy spark into kinetic energy.”",Jasmine Warga
“Ronan didn't need physics. He could intimidate even a piece of plywood into doing what he wanted.”,Maggie Stiefvater
“What I am going to tell you about is what we teach our physics students in the third or fourth year of graduate school... It is my task to convince you not to turn away because you don't understand it. You see my physics students don't understand it... That is because I don't understand it. Nobody does.”,Richard P. Feynman
"“The only thing known to go faster than ordinary light is monarchy, according to the philosopher Ly Tin Wheedle. He reasoned like this: you can't have more than one king, and tradition demands that there is no gap between kings, so when a king dies the succession must therefore pass to the heir",Terry Pratchett
"“It is often stated that of all the theories proposed in this century, the silliest is quantum theory. In fact, some say that the only thing that quantum theory has going for it is that it is unquestionably correct.”",Michio Kaku
"“Physics is really nothing more than a search for ultimate simplicity, but so far all we have is a kind of elegant messiness.”",Bill Bryson
"“You may not feel outstandingly robust, but if you are an average-sized adult you will contain within your modest frame no less than 7 X 10^18 joules of potential energy—enough to explode with the force of thirty very large hydrogen bombs, assuming you knew how to liberate it and really wished to make a point.”",Bill Bryson
“Those who are not shocked when they first come across quantum theory cannot possibly have understood it.”,Niels Bohr
“He who thinks half-heartedly will not believe in God; but he who really thinks has to believe in God.”,Isaac Newton
"“The release of atomic power has changed everything except our way of thinking ... the solution to this problem lies in the heart of mankind. If only I had known, I should have become a watchmaker. (1945)”",Albert Einstein
“Consciousness cannot be accounted for in physical terms. For consciousness is absolutely fundamental. It cannot be accounted for in terms of anything else.”,Erwin Schrödinger
“How wonderful that we have met with a paradox. Now we have some hope of making progress.”,Niels Bohr
"“And a new philosophy emerged called quantum physics, which suggest that the individual’s function is to inform and be informed. You really exist only when you’re in a field sharing and exchanging information. You create the realities you inhabit.”",Timothy Leary
“I remember discussions with,Werner Heisenberg
"“The Universe is not only queerer than we suppose, but queerer than we can suppose.”",J.B.S. Haldane
"“He needs ""space"" and ""time,"" as if this were physics and not a human relationship.”",Kathryn Stockett
"“But, if we consider, as physicists now claim, that everything is energy—everything we see, everything we think, everything we do—then it is just possible that this same law of conservation of energy applies to questions of morality. A conservation of moral energy, a maintenance of equilibrium… a balance exists and must be preserved. If an action is taken that disrupts that balance, then an action similar in kind and degree is required to restore equilibrium.”",J.K. Franko
“Nonsense is that which does not fit into the prearranged patterns which we have superimposed on reality...Nonsense is nonsense only when we have not yet found that point of view from which it makes sense.”,Gary Zukav
