Quote,Author
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Pablo Neruda
“Only the very weak-minded refuse to be influenced by literature and poetry.”,Cassandra Clare
“Music expresses that which cannot be put into words and that which cannot remain silent”,Victor hugo
“We love the things we love for what they are.”,Robert Frost
“You talk when you cease to be at peace with your thoughts.”,Kahlil Gibran
"“Every heart sings a song, incomplete, until another heart whispers back. Those who wish to sing always find a song. At the touch of a lover, everyone becomes a poet.”",Plato
“I have loved the stars too fondly to be fearful of the night.”,Sarah   Williams
"“Painting is poetry that is seen rather than felt, and poetry is painting that is felt rather than seen.”",Leonardo da Vinci
"“Resist much, obey little.”",Walt Whitman
“Unbeing dead isn't being alive.”,E. E. Cummings
"“A poem begins as a lump in the throat, a sense of wrong, a homesickness, a lovesickness.”",Robert Frost
“Poets have been mysteriously silent on the subject of cheese.”,G.K. Chesterton
"“One ought, every day at least, to hear a little song, read a good poem, see a fine picture, and, if it were possible, to speak a few reasonable words.”",Johann Wolfgang von Goethe
“What is that you express in your eyes? It seems to me more than all the print I have read in my life.”,Walt Whitman
“Only those who will risk going too far can possibly find out how far one can go.”,T.S. Eliot
“Let our scars fall in love.”,Galway Kinnell
"“If I had my life to live over again, I would have made a rule to read some poetry and listen to some music at least once every week.”",Charles Darwin
"“...and then, I have nature and art and poetry, and if that is not enough, what is enough?”",Vincent Willem van Gogh
"“Always be a poet, even in prose.”",Charles Baudelaire
"“If you have the words, there's always a chance that you'll find the way.”",Seamus Heaney
"“One should always be drunk. That's all that matters...But with what? With wine, with poetry, or with virtue, as you chose. But get drunk.”",Charles Baudelaire
“I like this place and could willingly waste my time in it.”,William Shakespeare
“Poetry is what gets lost in translation.”,Robert Frost
“Poetry is what happens when nothing else can.”,Charles Bukowski
"“You might as well ask an artist to explain his art, or ask a poet to explain his poem. It defeats the purpose. The meaning is only clear thorough the search.”",Rick Riordan
“Poetry might be defined as the clear expression of mixed feelings.”,W.H. Auden
“There is not a particle of life which does not bear poetry within it”,Gustave Flaubert
“Lovers alone wear sunlight.”,E.E. Cummings
"“Break a vase, and the love that reassembles the fragments is stronger than that love which took its symmetry for granted when it was whole.”",Derek Walcott
"“A man of my acquaintance once wrote a poem called ""The Road Less Traveled"", describing a journey he took through the woods along a path most travelers never used. The poet found that the road less traveled was peaceful but quite lonely, and he was probably a bit nervous as he went along, because if anything happened on the road less traveled, the other travelers would be on the road more frequently traveled and so couldn't hear him as he cried for help. Sure enough, that poet is dead.”",Lemony Snicket
“Poetry heals the wounds inflicted by reason.”,Novalis
"“Love consists of this: two solitudes that meet, protect and greet each other. ”",Rainer Maria Rilke
"“I know you're tired but come, this is the way.”",Jalalu'l-din Rumi
"“Once, poets were magicians. Poets were strong, stronger than warriors or kings — stronger than old hapless gods. And they will be strong once again.”",Greg Bear
“Poetry is eternal graffiti written in the heart of everyone.”,Lawrence Ferlinghetti
“Perhaps the truth depends on a walk around the lake.”,Wallace Stevens
"“Anon, who wrote so many poems without signing them, was often a woman.”",Virginia Woolf
"“If I read a book and it makes my whole body so cold no fire can warm me, I know that is poetry. If I feel physically as if the top of my head were taken off, I know that is poetry. These are the only ways I know it. Is there any other way?”",Emily Dickinson
“Music is the universal language of mankind.”,Henry Wadsworth Longfellow
“Don't use the phone. People are never ready to answer it. Use poetry.”,Jack Kerouac
"“Have you ever lost yourself in a kiss? I mean pure psychedelic inebriation. Not just lustful petting but transcendental metamorphosis when you became aware that the greatness of this being was breathing into you. Licking the sides and corners of your mouth, like sealing a thousand fleshy envelopes filled with the essence of your passionate being and then opened by the same mouth and delivered back to you, over and over again - the first kiss of the rest of your life. A kiss that confirms that the universe is aligned, that the world's greatest resource is love, and maybe even that God is a woman. With or without a belief in God, all kisses are metaphors decipherable by allocations of time, circumstance, and understanding”",Saul Williams
“Poetry is the shadow cast by our streetlight imaginations.”,Lawrence Ferlinghetti
“Those who are willing to be vulnerable move among mysteries.”,Theodore Roethke
"“All my heart is yours, sir: it belongs to you; and with you it would remain, were fate to exile the rest of me from your presence forever.”",Charlotte Bronte
"“Love, the poet said, is woman's whole existence.”",Virginia Woolf
"“A woman knows very well that, though a wit sends her his poems, praises her judgment, solicits her criticism, and drinks her tea, this by no means signifies that he respects her opinions, admires her understanding, or will refuse, though the rapier is denied him, to run through the body with his pen.”",Virginia Woolf
"“Love is heavy and light, bright and dark, hot and cold, sick and healthy, asleep and awake- its everything except what it is! (Act 1, scene 1)”",William Shakespeare
"“Given the choice between the experience of pain and nothing, I would choose pain.”",William Faulkner
“I don't care what you say to me. I care what you share with me.”,Santosh Kalwar
“The purpose of life is to be defeated by greater and greater things.”,Rainer Maria Rilke
"“Closed in a room, my imagination becomes the universe, and the rest of the world is missing out.”",Criss Jami
"“I turned silences and nights into words. What was unutterable, I wrote down. I made the whirling world stand still.”",Arthur Rimbaud
“The poetry of the earth is never dead.”,John Keats
"“I am no longer in love with her, that's certain, but maybe I love her. Love is so short, forgetting is so long.”",Pablo Neruda
"“The death of a beautiful woman is, unquestionably, the most poetical topic in the world.”",Edgar Allan Poe
"“Poetry is just so emo."" he said. ""Oh, the pain. The pain. It always rains. In my soul.”",John Green
"“A good poem is a contribution to reality. The world is never the same once a good poem has been added to it. A good poem helps to change the shape of the universe, helps to extend everyone's knowledge of himself and the world around him.”",Dylan Thomas
"“If your daily life seems poor, do not blame it; blame yourself, tell yourself that you are not poet enough to call forth its riches; for to the creator there is no poverty and no poor indifferent place.”",Rainer Maria Rilke
"“Poetry is just the evidence of life. If your life is burning well, poetry is just the ash.”",Leonard Cohen
"“To be a poet is a condition, not a profession.”",Robert Frost
“Genuine poetry can communicate before it is understood.”,T.S. Eliot
“Peace is always beautiful.”,Walt Whitman
"“Poetry, she thought, wasn't written to be analyzed; it was meant to inspire without reason, to touch without understanding.”",Nicholas Sparks
"“With me poetry has not been a purpose, but a passion.”",Edgar Allan Poe
