Quote,Author
"“Reader, suppose you were an idiot. And suppose you were a member of Congress. But I repeat myself.”",Mark Twain
"“It is not the critic who counts; not the man who points out how the strong man stumbles, or where the doer of deeds could have done them better. The credit belongs to the man who is actually in the arena, whose face is marred by dust and sweat and blood; who strives valiantly; who errs, who comes short again and again, because there is no effort without error and shortcoming; but who does actually strive to do the deeds; who knows great enthusiasms, the great devotions; who spends himself in a worthy cause; who at the best knows in the end the triumph of high achievement, and who at the worst, if he fails, at least fails while daring greatly, so that his place shall never be with those cold and timid souls who neither know victory nor defeat.”",Theodore Roosevelt
"“Loyalty to country ALWAYS. Loyalty to government, when it deserves it.”",Mark Twain
"“There comes a time when one must take a position that is neither safe, nor politic, nor popular, but he must take it because conscience tells him it is right.”",Martin Luther King Jr.
"“You're not to be so blind with patriotism that you can't face reality. Wrong is wrong, no matter who does it or says it.”",Malcolm X
“Illegal aliens have always been a problem in the United States. Ask any Indian.”,Robert Orben
"“My concern is not whether God is on our side; my greatest concern is to be on God's side, for God is always right.”",Abraham Lincoln
“A paranoid is someone who knows a little of what's going on. ”,William S. Burroughs
"“After all, Ginger Rogers did everything that Fred Astaire did. She just did it backwards and in high heels.”",Ann Richards
"“There is a cult of ignorance in the United States, and there has always been. The strain of anti-intellectualism has been a constant thread winding its way through our political and cultural life, nurtured by the false notion that democracy means that 'my ignorance is just as good as your knowledge.”",Isaac Asimov
"“The last thing I ever wanted was to be alive when the three most powerful people on the whole planet would be named Bush, Dick and Colon.”",Kurt Vonnegut
"“Politics is the art of looking for trouble, finding it whether it exists or not, diagnosing it incorrectly, and applying the wrong remedy.”",Ernest Benn
“All war is a symptom of man's failure as a thinking animal.”,John Steinbeck
"“What difference does it make to the dead, the orphans and the homeless, whether the mad destruction is wrought under the name of totalitarianism or in the holy name of liberty or democracy?”",Mahatma Gandhi
"“I predict future happiness for Americans, if they can prevent the government from wasting the labors of the people under the pretense of taking care of them.”",Thomas Jefferson
“The first duty of a man is to think for himself”,Jose Marti
“The smallest minority on earth is the individual. Those who deny individual rights cannot claim to be defenders of minorities.”,Ayn Rand
